movie_id,director,leads
FS20111009,데이빗 예이츠,다니엘 래드클리프(해리 포터 )|엠마 왓슨(헤르미온느)|루퍼트 그린트(론 웨슬리)
FS20179462,마이클 그레이시,휴 잭맨|잭 에프런|미쉘 윌리엄스
FS20210028,존 왓츠,톰 홀랜드(피터 파커/스파이더맨)|젠데이아 콜먼(MJ)|베네딕트 컴버배치(닥터 스트레인지)
FS20199950,토드 필립스,호아킨 피닉스|재지 비츠|로버트 드 니로
FS20090379,데이빗 예이츠,다니엘 래드클리프(해리 포터)|엠마 왓슨(헤르미온느)|루퍼트 그린트(론 위즐리)
FS20205144,정이삭,스티븐 연|한예리|윤여정
FS20149265,김홍선,김우빈(지혁)|김영철(조 사장)|고창석
FS20150622,웨스 볼,딜런 오브라이언|토마스 생스터|카야 스코델라리오
FS20101395,네이슨 그레노,제커리 리바이(플린 라이더)|맨디 무어(라푼젤)
FS20156250,이재한,이정재(장학수)|이범수(림계진)|리암 니슨(더글러스 맥아더)
FS20196271,양우석,정우성(한 대통령)|유연석(북 위원장)|곽도원(호위총국장)
FS20175262,조던 필,다니엘 칼루야|앨리슨 윌리암스|브래들리 휘트포드
FS20143572,백종열,한효주(홍이수)|김대명(우진1)|도지한(우진18)
FS20196655,채드 스타헬스키,키아누 리브스|할리 베리|로렌스 피쉬번
FS20162025,가스 제닝스,매튜 매커너히|리즈 위더스푼|스칼렛 요한슨
FS20112207,브래드 버드,톰 크루즈|제레미 레너
FS20147613,샘 테일러-존슨,제이미 도넌|다코타 존슨|제니퍼 엘
FS20124127,게리 로스,제니퍼 로렌스(캣니스 에버딘)|조쉬 허처슨(피타 멜라크)|리암 헴스워스(게일 호손)
FS20141384,앨런 테일러,아놀드 슈왈제네거|제이슨 클락|에밀리아 클라크
FS20136052,김병우,하정우(윤영화)|이경영(차대은)|전혜진(박정민)
FS20128274,톰 후퍼,휴 잭맨|러셀 크로우|앤 해서웨이
FS20196850,데이빗 레이치,드웨인 존슨|제이슨 스타뎀|이드리스 엘바
FS20149629,존 카니,키이라 나이틀리|마크 러팔로|애덤 리바인
FS20143513,강효진,엄정화(이연우)|송승헌|김상호(이소장)
FS20156082,크리스 리노드,스티브 쿠건|엘리 켐퍼|레이크 벨
FS20164844,변성현,설경구|임시완
FS20131381,제임스 완,베라 파미가(로레인 워렌)|패트릭 윌슨(에드 워렌)|릴리 테일러(캐롤린 페론)
FS20150964,박광현,지창욱(권유)|심은경(여울)|안재홍(데몰리션)
FS20172603,장유정,마동석(석봉)|이동휘|이하늬(오로라)
FS20131248,딘 데블로이스,제이 바루첼|제라드 버틀러|케이트 블란쳇
FS20125920,김휘,김윤진(송경희)|마동석|천호진
FS20124063,김홍선,임창정(영규)|최다니엘(상호)|오달수(경재)
FS20191029,김도영,정유미(지영)|공유(대현)|김국희(수빈엄마)
FS20124067,김주호,차태현(이덕무)|오지호(백동수)|민효린(백수련)
FS20161726,문현성,이선균(예종)|안재홍(윤이서)
FS20177308,이종석,현빈(민태구)|손예진(하채윤)
FS20126077,마크 웹,앤드류 가필드|엠마 스톤|마틴 쉰
FS20170670,조규장,이성민(상훈)|김상호|진경(수진)
FS20176917,브래드 페이튼,드웨인 존슨|제프리 딘 모건|나오미 해리스
FS20239670,류승완,황정민|정해인
FS20181788,존 크래신스키,에밀리 블런트|존 크래신스키|노아 주프
FS20135656,뤽 베송,스칼렛 요한슨|모건 프리먼|최민식
FS20113886,임상윤,소지섭(지형도)|이미연(유미연)
FS20166101,채드 스타헬스키,키아누 리브스|이안 맥쉐인|루비 로즈
FS20122021,마이클 베이,마크 월버그|니콜라 펠츠|잭 레이너
FS20171962,패트릭 휴즈,라이언 레이놀즈(마이클 브라이스 )|사무엘 L. 잭슨(다리우스 킨케이드)|셀마 헤이엑(소니아 킨케이드)
FS20100312,크리스토퍼 놀란,레오나르도 디카프리오(코브)
FS20155826,신재호,임창정|최다니엘(조유민)|나현정(큐레이터)
FS20138355,앨런 테일러,크리스 헴스워스(토르)|톰 히들스턴(로키)|나탈리 포트만(제인 포스터)
FS20228930,피터 손,
FS20030072,앤드류 스탠튼,엘렌 드제너스|알버트 브룩스
FS20155702,페이튼 리드,폴 러드|마이클 더글라스|에반젤린 릴리
FS20112175,스티븐 소더버그,기네스 팰트로우(베쓰 엠호프 )|맷 데이먼(토마스 엠호프 )
FS20189463,리치 무어,존 C. 라일리|사라 실버맨|맨디 무어
FS20150972,김태곤,김혜수(주연)|마동석(평구)|김현수(단지)
FS20199882,이규만,조진웅(박강윤)|최우식(최민재)|박희순(감찰계장)
FS20195002,정지영,조진웅(양민혁)|이하늬(김나리)
FS20143642,올리비에 메가턴,리암 니슨|팜케 얀센|매기 그레이스
FS20164721,빌 콘돈,엠마 왓슨|댄 스티븐스|루크 에반스
FS20144741,조지 밀러,톰 하디|샤를리즈 테론|니콜라스 홀트
FS20185046,아니쉬 차간티,존 조|데브라 메싱
FS20150523,브라이언 싱어,제임스 맥어보이|마이클 패스벤더|제니퍼 로렌스
FS20161907,폴 그린그래스,맷 데이먼|줄리아 스타일즈|토미 리 존스
FS20184482,김봉한,곽도원(홍병수)|김대명(황만철)|김희원(패트릭)
FS20218052,앤디 서키스,톰 하디|미쉘 윌리엄스|나오미 해리스
FS20196309,존 왓츠,톰 홀랜드|사무엘 L. 잭슨|젠데이아 콜먼
FS20124936,변성현,지성(현승)|김아중(윤정)
FS20195920,김한결,김래원(재훈)|공효진(선영)
FS20206061,콜린 트레보로우,크리스 프랫|브라이스 달라스 하워드|드완다 와이즈
FS20181877,애너 보든,브리 라슨|사무엘 L. 잭슨|벤 멘델슨
FS20162343,정병길,김옥빈(숙희)|신하균(중상)|성준(현수)
FS20134591,박상준,이민기|박성웅(정상하)|이태임(연수)
FS20179901,맷 리브스,앤디 서키스|우디 해럴슨(콜로넬 역)|스티브 잔
FS20172204,박희곤,조승우(박재상)|지성(흥선대원군)|김성균(김병기)
FS20124032,김형준,박희순|박희순(강선우)|박시연(김수진)
FS20227762,안태진,류준열(천경수)|유해진(인조)|최무성(이형익)
FS20203286,윤영빈,유오성(김길석)|장혁(이민석)|박성근(조방현)
FS20154242,젠디 타타코브스키,아담 샌들러(드라큘라 목소리)|셀레나 고메즈(마비스 목소리)|케빈 제임스(프랑켄슈타인 목소리)
FS20145171,박훈정,최민식
FS20167903,조원희,마동석|김영광|이유영
FS20101224,데이빗 예이츠,다니엘 래드클리프(해리 포터)|엠마 왓슨(헤르미온느)|루퍼트 그린트(론 웨슬리)
FS20217826,박규태,고경표(박천우)|이이경(리용호)|음문석(강은표)
FS20148973,맷 리브스,앤디 서키스|게리 올드만|제이슨 클락
FS20166967,마이클 베이,마크 월버그|안소니 홉킨스|로라 하드독
FS20178401,최재훈,장혁(태율)|김현수(태옥)|조 타슬림(구루타이)
FS20159644,박대민,유승호(김인홍)|조재현(성대련)|고창석(보원)
FS20150203,존 추,제시 아이젠버그|마크 러팔로|우디 해럴슨
FS20140694,데이비드 에이어,브래드 피트|로건 레먼|샤이아 라보프
