영화명,개봉일,원개봉일,구분,세그먼트,상영상태,누적관객,개봉일좌석수,개봉일스크린수,개봉일관객수,메가최대일간스크린,평균스크린,스크린당좌석,상영주수,단독런시작,단독런종료,장르,대표국적,배급사
아이들,2025-12-17,,재개봉/구작,실사 한국,종영,2195,8572,69,306,69,30.4,112,5,2025-12-15,2026-01-18,드라마,한국,㈜인디스토리
10일간의 애인,2023-01-12,2023-01-12,신작,실사 한국,종영,2118,6364,50,826,50,8.2,138,3,2023-01-09,2023-01-29,멜로/로맨스,한국,(주)그노스
안경,2025-06-11,2007-11-29,재개봉/구작,실사 외화,종영,2098,8418,50,296,50,18.6,134,6,2025-06-09,2025-07-20,"드라마,코미디",일본,"(주)디스테이션,스폰지"
파라노이드 키드,2025-06-11,,재개봉/구작,애니메이션,종영,2098,8418,50,296,50,18.6,134,6,2025-06-09,2025-07-20,애니메이션,한국,
울브스 오브 워,2023-01-26,2023-01-26,신작,실사 외화,종영,2025,6401,50,757,50,8.2,138,3,2023-01-23,2023-02-12,"액션,스릴러,전쟁",영국,(주)누리픽쳐스
열화청춘 리마스터링,2025-03-31,2025-03-31,신작,실사 외화,종영,1932,6528,52,369,52,21.7,120,4,2025-03-31,2025-04-27,"드라마,멜로/로맨스",홍콩,(주)디스테이션
지옥: 두개의 삶,2025-09-17,,재개봉/구작,애니메이션,종영,1860,8610,64,341,64,26.5,118,5,2025-09-15,2025-10-19,"애니메이션,판타지,공포(호러)",한국,㈜인디스토리
나만의 비밀,2026-01-21,2026-01-21,신작,실사 외화,종영,1821,13065,80,311,78,28.8,130,5,2026-01-19,2026-02-22,드라마,일본,(주)누리픽쳐스
신 울트라맨,2023-12-06,2023-12-06,신작,실사 외화,종영,1721,7283,53,269,53,24.9,122,3,2023-12-04,2023-12-24,"SF,액션",일본,와이드 릴리즈(주)
톰보이,2024-11-06,2020-05-14,재개봉/구작,실사 외화,종영,1629,10037,62,187,60,18.5,145,4,2024-11-04,2024-12-01,드라마,프랑스,"(주)블루라벨픽쳐스,TCO(주)더콘텐츠온,(주)영화특별시에스엠씨"
극장판 나와 로보코,2025-11-26,2025-11-26,신작,애니메이션,종영,933,10564,74,181,74,26.0,122,3,2025-11-24,2025-12-14,애니메이션,일본,에스엠지홀딩스 주식회사
나나미 : 마지막 한방울까지 짜내는 무삭제,2023-06-13,,재개봉/구작,실사 외화,종영,220,9224,55,220,55,55.0,168,1,2023-06-12,2023-06-18,성인물(에로),일본,(주)영화사 사계절
