영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
리오 브라보,,15129,36756000,1,2,2026-05
사브리나,,15111,38108000,1,8,2025-11
퍼스널 쇼퍼,2017-02-09,15107,121634100,1,6,2025-07
시애틀의 잠 못이루는 밤,1993-12-18,15079,119156790,58,648,2024-12
창가의 토토,2024-05-29,15047,135026143,2,14,2024-07
다이 마이 러브,2026-03-04,14991,128942200,3,23,2026-04
무기여 잘 있거라,1974-01-01,14886,28425534,1,12,2026-03
출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,2025-04-12,14829,121341100,1,1,2025-10
해저 2만리,,14805,31041000,1,5,2026-02
침묵의 친구,2026-04-15,14778,153679370,11,57,2026-07
키메라,2024-04-03,14742,142738969,1,2,2026-01
사유리,2025-04-16,14736,141290100,34,239,2025-05
바이올렛 에버가든 – 영원과 자동 수기 인형 -,2020-03-26,14650,126179470,19,126,2024-08
남태평양,1971-08-07,14613,26942924,1,6,2026-07
립세의 사계,2024-01-10,14582,113266240,1,3,2024-03
플랜 75,2024-02-07,14471,131960066,1,1,2025-12
피서지에서 생긴 일,1972-08-19,14449,29050500,1,8,2025-08
그랑 메종 파리,2025-08-27,14449,109036200,1,1,2025-10
고령가 소년 살인사건,2017-11-23,14386,175695340,10,42,2025-10
렌탈 패밀리: 가족을 빌려드립니다,2026-02-25,14383,130343540,1,1,2026-05
애니멀 킹덤,2025-01-22,14330,133964100,1,1,2025-11
호두까기 인형과 마술피리,2024-10-30,14285,120485050,2,8,2024-12
태양은 가득히,1973-02-03,14242,32456500,1,6,2025-12
엘 시드,1971-09-21,14200,26134790,1,4,2026-04
해바라기,1982-11-14,14129,43738228,1,1,2025-12
쉰들러 리스트,1994-03-05,14006,99632576,43,187,2024-07
노틀담의 꼽추,1971-07-31,13984,28185000,1,6,2026-01
공기인형,2010-04-08,13971,108684640,1,1,2025-05
데드데드 데몬즈 디디디디 디스트럭션: 파트2,2025-02-05,13956,115409160,1,9,2026-07
사랑할 때와 죽을 때,,13899,28669000,1,6,2025-11
007 살인번호,,13760,28386000,1,6,2025-10
현기증,,13735,75459642,1,4,2026-06
세계를 그대 품안에,,13707,27729000,1,16,2026-04
시크릿 에이전트,2026-07-08,13633,147969370,84,810,2026-07
베네데타,2021-12-01,13612,128189800,1,2,2024-10
여덟 개의 산,2023-09-20,13598,123234728,1,1,2025-11
스코어: 영화음악의 모든 것,2017-10-19,13550,103431000,1,1,2024-03
흑기사,1973-10-24,13505,28187500,1,16,2025-12
페르세폴리스,2008-05-08,13505,95652800,1,1,2024-11
욕망이라는 이름의 전차,,13381,31368000,1,6,2026-04
오즈의 마법사,2012-05-03,13375,79009468,1,12,2024-03
황태자의 첫사랑,,13315,28571000,1,3,2025-11
어페어 투 리멤버,,13295,27811500,1,6,2026-07
커피와 담배,2006-07-27,13286,106389600,10,37,2026-01
전장의 크리스마스,2024-11-20,13242,127374732,1,1,2026-05
하얀리본,2010-07-01,13165,96969700,1,4,2026-06
매직 프린세스: 얼음 괴물과 사라진 열쇠의 비밀,2023-12-07,13125,107545357,1,1,2024-01
라라걸,2020-04-15,12851,109124460,1,1,2024-05
너의 눈을 들여다보면,2023-06-14,12841,124480505,1,2,2026-06
에덴의 동쪽,1973-02-22,12830,29458000,1,2,2026-01
올 그린스,2026-05-06,12781,116433050,1,7,2026-07
마티아스와 막심,2020-07-23,12768,114745420,1,2,2025-09
하이 눈,,12742,26844500,1,9,2026-05
슬픔은 그대 가슴에,1999-05-08,12684,25840500,1,6,2025-10
옷코는 초등학생 사장님!,2019-02-27,12674,95664780,1,1,2026-02
카라바조의 그림자,2025-01-22,12642,115090260,9,61,2025-03
아라비아의 로렌스,1998-10-24,12641,30716500,1,4,2026-07
녹야,2023-11-01,12571,99189200,1,1,2024-11
한여름밤의 재즈,2022-09-08,12554,128124289,1,1,2026-01
스틸라이프,2007-06-14,12536,83723500,1,1,2024-09
젊은이의 양지,1972-10-28,12533,26944000,1,12,2026-07
몬스터 프렌즈,2024-04-25,12519,101256715,1,1,2026-01
씨민과 나데르의 별거,2011-10-13,12511,92589400,1,4,2025-08
유레카,2026-05-27,12510,129148450,7,50,2026-07
그리드맨 유니버스,2025-05-21,12510,98942580,40,399,2025-06
베라크루스,1971-02-13,12440,25449000,1,6,2024-12
와일드라이프,2019-12-25,12431,99258120,1,3,2024-01
강변의 무코리타,2023-08-23,12378,109093426,9,61,2025-09
자이언트,1974-02-28,12353,22771212,1,2,2026-02
바이킹,,12332,25081500,1,6,2025-09
여름날의 레몬그라스,2024-11-27,12312,71507100,64,499,2024-12
인어공주: 마법물약의 비밀,2024-03-14,12265,105988262,5,18,2024-04
모감보,,12232,26754500,1,22,2026-05
라스트 레터,2021-02-24,12208,102063067,3,23,2024-08
녹색광선,,12186,117653900,1,2,2026-06
미러 넘버 3,2025-10-01,12176,115984100,1,1,2025-12
기적,1972-12-23,12160,22097558,1,3,2025-09
끝이 없는 스칼렛,2026-01-14,12111,104038200,6,18,2026-02
클로즈,2023-05-03,12091,117787037,1,3,2026-07
하늘의 푸르름을 아는 사람이여,2022-03-16,12030,107069436,1,21,2024-01
살인마 잭의 집,2019-02-21,11998,108613347,1,2,2025-09
왕중왕,,11988,24634500,1,2,2026-04
교실 안의 야크,2020-09-30,11909,100846610,1,1,2025-04
"나의 아픈, 사랑이야기",2025-08-13,11899,102330800,2,10,2025-09
겁쟁이 페달: 더 무비,2016-01-14,11897,84425712,1,1,2025-05
스파이의 아내,2021-03-25,11883,103878330,1,1,2026-03
지미스 홀,2014-10-09,11873,89423700,1,2,2024-01
사요나라,,11858,24415000,1,6,2026-06
후레루.,2025-06-25,11775,89595500,120,797,2025-07
라빠르망,1997-03-22,11770,70966500,1,5,2025-06
안경,2007-11-29,11699,84530900,9,60,2025-09
파리의 연인,,11675,28412000,1,9,2026-04
하오의 연정,,11641,23511500,1,12,2025-02
구룡성채: 무법지대,2024-10-16,11622,99918950,1,1,2025-07
퀸 락 몬트리올,2026-04-15,11617,150012340,1,2,2026-07
싸이코,,11574,75279026,1,14,2025-05
프리실라,2024-06-19,11548,103947784,2,4,2024-08
운디네,2020-12-24,11522,103373620,2,14,2025-12
폭풍의 언덕,,11467,24425500,1,5,2026-01
프로이트의 라스트 세션,2024-08-21,11375,100515238,1,2,2024-11
킬,2024-08-28,11177,80584100,1,3,2024-10
OK 목장의 결투,,11128,23983000,1,6,2025-11
징기스칸,1977-03-18,11103,23064000,1,16,2025-01
킬리만자로의 눈,,11095,23455000,1,14,2025-12
연지구 디 오리지널 4K,2026-03-25,11080,110674800,2,5,2026-05
코마다 위스키 패밀리,2024-09-05,11062,88734000,1,1,2025-07
두 여인,,11035,25706000,1,6,2026-04
애심,1973-03-10,11010,22393000,1,12,2024-07
북북서로 진로를 돌려라,,10916,51979900,1,9,2025-11
피아노,1993-09-25,10826,77191600,30,311,2026-07
너와 파도를 탈 수 있다면,2020-07-08,10820,93742417,5,22,2024-06
클리프행어 리마스터드,1993-06-12,10760,74593600,20,106,2025-07
나이아가라,,10741,22365000,1,8,2026-07
리틀 포레스트 2: 겨울과 봄,2015-05-14,10705,82550044,1,2,2026-01
영광의 탈출,,10684,17508516,1,6,2025-12
리 밀러: 카메라를 든 여자,2025-09-24,10663,96834280,2,10,2025-11
풀타임,2022-08-18,10633,98389698,1,1,2024-10
토리와 로키타,2023-05-10,10631,102365768,1,2,2026-05
어 퍼펙트 데이,2017-09-21,10612,74390400,1,1,2025-12
항구의 니쿠코짱!,2023-04-27,10567,86586506,4,14,2024-05
7인의 신부,1972-12-24,10510,21279500,1,8,2025-08
도쿄의 밤하늘은 항상 가장 짙은 블루,2019-02-14,10502,91983987,1,3,2026-02
솔로몬과 시바의 여왕,1972-11-24,10488,22287000,1,2,2026-05
벌집의 정령,2025-01-29,10478,96747860,1,1,2026-04
아프리카의 여왕,,10455,21994500,1,10,2026-07
"1986 그 여름, 그리고 고등어통조림",2023-07-05,10427,87362500,1,8,2026-07
노 베어스,2024-01-10,10422,101495312,5,22,2025-06
소년 아메드,2020-07-30,10417,81780687,1,2,2026-05
순응자,2016-01-28,10387,81862227,1,1,2025-08
프라우드 프린세스: 로열 어드벤처,2025-08-15,10374,75517400,6,30,2025-09
얼음 여왕,2026-01-28,10331,78937600,1,3,2026-03
뜨거운 양철 지붕 위의 고양이,,10286,22729000,1,6,2025-12
네루다,2017-05-25,10205,79536200,1,1,2025-06
안나 카레니나,,10162,21489500,1,6,2026-01
타년타일,2026-01-28,10154,67579400,5,31,2026-03
그리고 바통은 넘겨졌다,2024-07-17,10127,74486000,11,83,2024-08
애프터 미드나잇 리마스터링,2007-08-23,10119,73866400,1,4,2026-01
대결! 애니메이션,2024-03-06,10118,73541116,2,15,2024-04
슈퍼 해피 포에버,2025-12-24,10104,103183100,1,1,2026-03
잉글랜드 이즈 마인,2018-07-05,10101,87918647,1,2,2025-09
피크닉,,10098,20655500,1,16,2026-04
공각기동대,2002-04-12,10098,97866770,10,115,2026-02
원탁의 기사,,10091,21050000,1,6,2025-12
멋진 인생,,10005,22575500,1,12,2025-12
프랑스,2022-01-13,9997,94076190,1,2,2025-01
라 붐,2013-10-24,9939,76592500,1,3,2025-09
액트 오브 킬링,2014-11-20,9876,79463921,1,1,2025-06
모던 타임즈,1988-07-02,9868,58861959,1,14,2024-04
종착역,,9787,20353000,1,15,2024-12
코르사주,2022-12-21,9739,91065596,1,2,2024-01
황야의 7인,1972-11-02,9609,21135500,1,6,2025-09
이유없는 반항,1971-03-26,9608,22132500,1,12,2026-06
신사는 금발을 좋아해,,9562,22153000,1,6,2026-07
애꾸눈 잭,,9519,19265000,1,4,2025-09
역마차,,9518,22971900,1,8,2026-04
라이즈,2024-01-17,9503,85854460,1,2,2024-04
캣퍼슨,2024-06-19,9493,78273300,1,1,2024-11
쇼잉 업,2025-01-08,9457,89024200,1,2,2025-05
우리들의 교복시절,2025-07-11,9389,87187465,1,2,2025-11
카페 뤼미에르,2005-10-20,9375,58872300,1,1,2024-06
마지막 황제,1988-12-23,9318,30669944,1,2,2026-01
물의 연대기,2026-01-28,9315,78985800,2,11,2026-03
발코니의 여자들,2025-07-09,9310,87232100,12,117,2025-08
아임 스틸 히어,2025-08-20,9308,83194400,1,1,2026-06
전송가,,9292,19182500,1,6,2026-06
새벽을 알리는 루의 노래,2018-01-31,9265,76606700,4,16,2024-06
생츄어리 2 : 쿼카가 너무해,2024-03-07,9261,81510141,2,4,2024-04
디베르티멘토,2024-08-07,9205,75426478,1,2,2025-11
메모리,2025-01-22,9194,83406400,2,16,2025-04
성의,1986-12-31,9029,15560644,1,2,2026-04
잇 컴스 앳 나잇,2017-10-19,9025,73038918,1,3,2024-08
파르테노페,2025-09-24,8968,80067900,1,1,2026-03
고스트 스토리,2017-12-28,8933,75928458,1,3,2026-01
썸머타임,,8919,18782000,1,3,2026-01
가가린,2022-12-22,8860,86387374,1,1,2025-10
리틀 아멜리,2026-01-14,8793,91227300,1,3,2026-04
지난 여름 갑자기,,8760,18714000,1,5,2025-11
"파리, 13구",2022-05-12,8743,85141760,1,1,2025-04
6번 칸,2023-03-08,8742,82255784,1,7,2026-02
왓츠 러브,2024-03-20,8738,78500397,15,62,2024-04
논-픽션,2019-05-16,8732,70882350,1,1,2024-07
고독의 오후,2026-06-03,8700,82951600,15,87,2026-07
지구 최후의 밤,2019-07-25,8603,74130080,1,3,2026-04
밀레니엄 맘보,2003-05-30,8600,80474300,1,1,2025-12
신성한 나무의 씨앗,2025-06-03,8595,77629000,1,1,2026-01
백경,2008-03-15,8590,17878000,1,3,2026-05
미야자키 하야오의 그대들은 어떻게 살 것인가,2026-04-15,8404,62307190,6,45,2026-05
동경 이야기,2014-08-16,8390,77821100,1,6,2026-07
첫눈이 사라졌다,2021-10-20,8368,60493530,1,1,2025-12
굿 보이,2025-10-22,8338,68121740,63,324,2025-11
공포분자,2020-09-17,8334,69026530,1,5,2026-05
7년만의 외출,,8332,17607500,1,12,2025-07
원한의 도곡리 다리,,8278,18800000,1,18,2026-06
말 없는 사나이,,8273,18465000,1,6,2026-03
내 말 좀 들어줘,2025-08-20,8259,76846700,4,15,2025-10
검은 수선화,,8236,18053500,1,6,2026-07
브라바도스,,8229,16606000,1,6,2026-07
너를 보내는 숲,2008-04-24,8177,56373100,1,1,2025-10
사랑의 스잔나,1976-08-12,8171,20648317,1,1,2026-06
왼손잡이 소녀,2025-11-12,8120,71360360,1,1,2026-06
80일간의 세계일주,,8104,16345000,1,4,2026-01
사랑하는 당신에게,2023-05-31,8090,70111350,1,1,2025-12
300 스파르탄,,8084,16478000,1,13,2026-06
마이 미씽 발렌타인,2021-01-14,8043,62017020,1,1,2025-11
기쿠지로의 여름,2002-08-30,8040,66893900,1,1,2024-09
수색자,,8008,17832000,1,4,2025-11
볼레로: 불멸의 선율,2025-04-30,7978,68604200,4,34,2025-06
그날이 오면,,7913,17005000,1,4,2025-12
세 가지 색 : 블루,1994-04-23,7884,70026100,1,7,2025-11
어느 멋진 아침,2023-09-06,7784,69715669,1,1,2024-11
그녀에게,2003-04-18,7784,58156252,1,1,2026-07
상처뿐인 영광,1971-06-26,7763,15877500,1,6,2026-04
어느날 밤에 생긴 일,,7759,16314000,1,6,2024-12
춘희,,7717,15717500,1,3,2025-04
탐엣더팜,2014-05-22,7679,60239000,1,2,2024-06
남과 여,1979-10-03,7670,45060900,1,4,2026-05
아가씨와 건달들,1997-11-15,7636,15986000,1,4,2026-01
라 당스,2013-08-22,7630,66817000,1,2,2026-06
미치광이 피에로,2025-06-04,7614,74887600,1,2,2026-03
황야의 결투,,7592,16032000,1,16,2026-05
작은 아씨들,,7577,15864000,1,5,2025-12
마작,2025-10-15,7572,78353870,1,9,2025-12
타이페이 스토리,2019-11-07,7554,64167000,1,7,2026-05
네 멋대로 해라,2026-01-14,7526,52029030,1,1,2026-04
크리피: 일가족 연쇄 실종 사건,2016-08-18,7511,59919900,1,2,2025-12
고양이 수비대: 모나리자를 지켜라!,2025-05-14,7504,59763400,10,46,2025-06
스파이 캣,2021-12-09,7504,54634899,1,3,2025-05
이창,,7470,32681500,1,8,2025-08
이오 카피타노,2024-08-07,7460,66987339,3,14,2024-09
마에스트로,2023-08-09,7458,65240111,1,2,2024-12
바라바,,7423,15049000,1,9,2026-03
세븐 베일즈,2025-05-14,7419,50984400,6,36,2025-06
악이 도사리고 있을 때,2024-10-09,7409,57430800,2,2,2024-11
자랑과 정열,,7387,15526000,1,12,2025-08
벨벳 골드마인,1999-08-28,7381,55970485,1,2,2025-09
차이콥스키의 아내,2024-05-01,7349,61150554,1,1,2024-07
"낸 골딘, 모든 아름다움과 유혈사태",2024-05-15,7321,70221495,1,1,2024-10
트랜짓,2020-07-02,7289,62865060,2,6,2025-10
레벤느망,2022-03-10,7286,65678170,1,1,2025-12
극장판 아름다운 그: 이터널,2023-07-12,7264,67741850,2,16,2024-10
해변의 폴린,,7259,67883700,1,2,2026-06
오키쿠와 세계,2024-02-21,7218,67240295,1,1,2024-09
델마,2018-08-15,7204,64233600,1,2,2024-01
뱀파이어 헌터 D,2025-11-12,7168,72125800,17,79,2025-12
안녕하세요,2026-02-11,7082,66258700,1,2,2026-04
대해적,,7065,14967000,1,3,2025-10
로메리아,2026-05-27,7060,60814050,1,1,2026-07
화이트 크리스마스,,7059,14734000,1,12,2025-12
파이널 피스,2026-05-27,7044,62950250,77,343,2026-06
#진상을 말씀드립니다,2025-09-24,7002,53060800,1,3,2025-11
400번의 구타,2016-04-13,6974,58394696,1,2,2026-04
그린 맨션,,6947,14851000,1,6,2025-10
영웅본색 2,1988-07-22,6920,35249437,22,56,2024-04
성 베드로 대성당과 로마의 교황청 대성당들,2025-01-15,6919,56592860,2,12,2025-12
기괴도,2024-06-12,6912,51723749,1,2,2024-07
리오 그란데,,6905,18080500,1,16,2026-07
인랜드 엠파이어,2007-07-26,6879,53098700,3,5,2026-02
필로우 토크,,6861,13908500,1,9,2025-06
천국보다 낯선,1995-11-11,6850,64174500,1,1,2026-04
쥴 앤 짐,1997-01-04,6754,52322589,1,3,2025-09
하타리,,6752,14490500,1,12,2025-05
하트 비트,2010-11-25,6739,50977000,1,3,2026-03
서부 개척사,,6718,16769000,1,4,2025-11
세상의 모든 디저트: 러브 사라,2021-02-04,6681,55903170,1,1,2024-06
오디션,2023-04-19,6679,69853700,1,7,2025-08
피부색깔=꿀색,2014-05-08,6664,45415900,1,2,2026-05
힙노시스: LP 커버의 전설,2024-05-01,6624,64433647,1,4,2024-07
록키 호러 픽쳐 쇼,1998-06-20,6617,50883700,1,1,2025-11
그 여름 가장 조용한 바다,2004-08-13,6594,48193634,1,1,2024-09
파계,,6593,13191000,1,2,2025-10
나는 결백하다,,6587,14756500,1,6,2025-04
렛 더 선샤인 인,2018-04-26,6576,52184571,1,1,2024-07
자전거 도둑,2023-04-26,6564,40896553,1,1,2026-02
오만과 편견,,6515,13865000,1,1,2026-01
달콤한 인생,,6513,33578500,1,1,2026-06
산,,6497,13291500,1,8,2025-12
페이톤 플레이스,,6497,13026000,1,4,2025-05
트라페지움,2024-11-14,6490,51598500,5,12,2024-12
이도공간,2003-06-05,6482,62196300,1,3,2026-04
피넛 버터 팔콘,2021-04-07,6470,57889900,1,1,2025-10
8과 1/2,2025-07-23,6409,59989900,1,3,2025-09
클레오의 세계,2024-01-03,6404,61900677,1,1,2024-12
영화 스미코구라시 - 푸른 달밤의 마법의 아이,2024-02-07,6401,52317720,2,7,2024-03
사랑의 탐구,2024-09-18,6399,58980360,1,1,2025-03
키퍼,2026-07-08,6388,52838850,119,1104,2026-07
담뽀뽀,2025-12-17,6377,62250576,1,2,2026-02
스팔타카스,1974-01-23,6372,12958000,1,2,2026-02
시민 케인,,6359,16469000,1,6,2026-07
가위손,1991-06-29,6350,45508000,1,6,2024-01
알라바마 이야기,,6348,14055000,1,2,2026-01
웨스트 사이드 스토리,1999-05-29,6347,17954600,1,4,2025-07
아이 킬드 마이 마더,2015-01-15,6343,49104086,1,1,2025-09
마음이 외치고 싶어해,2017-12-07,6340,47259600,13,123,2025-05
루팡 3세: 칼리오스트로의 성,2017-05-25,6335,58530000,80,402,2024-04
럭키 데이 인 파리,2025-11-12,6335,60621370,2,7,2026-01
굿 보스,2022-02-10,6335,56340220,1,1,2026-03
티처스 라운지,2023-12-27,6333,57705614,1,1,2025-10
해탄적일천,2022-01-06,6306,60715120,1,1,2026-04
교수목,,6290,12776000,1,6,2026-03
더 원더스,2024-07-31,6276,57909456,1,3,2026-06
레미제라블 디 오리지널,,6245,12866000,1,2,2026-01
내일을 향해 쏴라,,6241,14591700,1,1,2025-11
피어스,2026-05-13,6199,48753200,6,40,2026-06
위국일기,2024-10-02,6187,60883900,3,20,2024-11
환상의 마로나,2020-06-11,6172,57798960,1,1,2024-10
사운드 오브 폴링,2025-12-17,6168,64863810,1,1,2026-02
사하라,,6134,13583000,1,16,2025-11
펀치 드렁크 러브,2003-05-08,6120,56739400,2,56,2026-05
우리 생애 최고의 해,,6110,10232884,1,9,2026-05
안티크라이스트,2011-04-14,6104,52704260,1,1,2025-10
피렌체와 우피치 미술관,2024-06-26,6019,47998606,1,2,2025-02
백주의 결투,,5984,13629000,1,6,2026-02
울프 토템,2026-06-10,5980,49750250,2,4,2026-07
사랑아 나는 통곡한다,,5938,11976000,1,8,2025-11
어느 파리 택배기사의 48시간,2026-06-17,5936,54052780,12,98,2026-07
뉴욕 라이브러리에서,2018-10-11,5932,58181100,1,2,2026-06
분노의 포도,,5929,13991000,1,6,2026-03
밀회,,5894,12407000,1,10,2025-02
디판,2015-10-22,5872,43390900,1,1,2025-04
해변의 에트랑제,2021-02-18,5829,54228220,1,5,2024-06
바늘을 든 소녀,2025-12-10,5778,53860950,1,4,2026-02
도쿄 소나타,2009-03-19,5776,39448400,1,3,2025-12
공중 트라피스,,5773,12097000,1,8,2024-05
내 여자친구의 남자친구,,5770,56334600,1,2,2026-06
로제타,2019-05-23,5763,44168950,1,3,2026-06
힐마 아프 클린트 - 미래를 위한 그림,2023-12-20,5748,43795196,1,1,2024-11
온다,2020-03-26,5709,47005457,2,7,2024-07
독립시대,2024-09-25,5704,54436860,7,51,2025-10
나미비아의 사막,2025-05-07,5620,52674800,1,2,2025-08
달팽이의 회고록,2025-04-30,5596,49457960,1,1,2025-07
파문,2025-01-15,5580,52097100,10,51,2025-09
이수,,5572,12004000,1,5,2025-08
빛나는,2017-11-23,5556,41287200,1,1,2024-08
시저와 클레오파트라,,5553,11815000,1,4,2025-11
올란도,1994-03-12,5549,51135150,5,21,2026-05
기인들,,5538,12184500,1,12,2025-02
노인과 바다,,5535,11445500,1,5,2026-05
알카라스의 여름,2022-11-03,5520,49180493,1,2,2024-07
제인 에어,,5512,12258000,1,3,2026-01
사랑이 뭘까,2020-04-09,5506,48940480,1,2,2026-03
넥스트 골 윈즈,2024-01-24,5497,50989771,18,101,2024-02
천년여우,2004-07-09,5482,33971000,1,1,2025-01
원맨,2024-09-04,5463,51242000,147,1215,2024-09
영 앳 하트,,5440,11348000,1,9,2024-02
고백,2025-02-19,5417,39871000,17,76,2025-03
검은 태양은 밝아온다,,5388,11432500,1,12,2025-05
해상화,2026-02-04,5380,47460170,1,2,2026-05
블루 벨벳,1992-10-17,5363,43501900,1,2,2025-07
찬란한 내일로,2024-05-29,5343,47869480,1,1,2025-09
에스더의 왕,,5330,10893500,1,6,2026-03
가스등,,5325,11795000,1,4,2024-10
아버지의 초상,2016-01-28,5300,33544500,1,1,2024-09
120 BPM,2018-03-15,5234,43864473,1,1,2026-04
햄릿,,5204,10463000,1,9,2025-09
기빗올: 우리들의 썸머,2025-06-18,5194,39836970,20,112,2025-07
침묵의 시선,2015-09-03,5179,40560000,1,1,2025-06
국외자들,2024-09-25,5156,51079860,1,1,2026-05
언데드 다루는 법,2025-01-22,5152,46157500,21,90,2025-02
목로주점,,5127,10468000,1,12,2025-04
걸,2021-01-07,5113,46551010,1,1,2025-11
어네스트와 셀레스틴: 멜로디 소동,2025-06-11,5104,35848200,1,1,2026-05
콜 제인,2023-03-08,5092,48367294,1,1,2025-06
두 번째 계절,2026-01-28,5089,43848800,2,19,2026-03
카페 드 플로르,2012-07-19,5069,35275200,1,4,2024-11
오케스트라의 소녀,,5068,10194000,1,12,2025-05
내셔널 갤러리,2016-08-25,5067,47618600,1,2,2026-06
올리버 트위스트,,5066,10718000,1,9,2026-01
보티첼리. 피렌체와 메디치,2024-04-24,5041,41321612,4,34,2026-02
위대한 독재자,1988-11-19,5034,31387000,1,11,2024-04
남쪽,2026-02-18,5001,46964200,1,3,2026-04
그랜드 투어,2025-03-26,4992,43257700,3,27,2025-05
"끝, 새로운 시작",2025-03-26,4985,41718800,1,2,2025-06
이브의 모든 것,,4981,10969000,1,6,2025-10
시저는 죽어야 한다,2013-05-02,4914,35597000,1,3,2025-06
슬픔이여 안녕,,4883,10106000,1,6,2026-04
여름이야기,1998-06-13,4870,43286400,1,3,2026-07
베로니카의 이중생활,1991-11-09,4859,40353900,1,4,2025-11
리벤지,2020-05-06,4853,40628300,1,4,2024-12
우정어린 설복,,4839,9891000,1,6,2026-01
총을 든 스님,2025-01-01,4835,41962100,1,1,2026-02
34번가의 기적,,4820,9748000,1,14,2025-12
너의 새는 노래할 수 있어,2020-04-16,4804,43143150,1,4,2025-12
오늘부터 댄싱퀸,2024-05-29,4735,35526300,1,1,2024-12
파리의 아메리카인,,4727,11149000,1,6,2026-05
로즈마리,,4702,9429000,1,6,2026-04
열정의 랩소디,,4700,10065000,1,12,2025-11
녹차의 맛,2006-11-23,4691,36536102,1,5,2024-06
도그빌,2003-08-01,4683,49397580,11,135,2025-10
베르나데트의 노래,,4671,9950000,1,4,2025-12
영화 스미코구라시 - 튀어나오는 그림책과 비밀의 아이,2024-01-24,4670,40442390,1,4,2024-03
"파리, 밤의 여행자들",2025-12-17,4665,42050900,10,95,2026-01
거룩한 분노,2018-06-28,4649,35814900,2,15,2024-05
이터널 메모리,2023-09-20,4643,41133707,9,28,2024-03
흐르는 강물처럼,1993-04-24,4643,14508400,1,1,2025-11
크래쉬: 디렉터스컷,2025-03-26,4622,44852600,1,3,2025-06
위대한 작은 농장,2023-06-14,4619,39033910,1,1,2026-06
필라델피아 스토리,,4603,9809000,1,12,2025-11
마술피리,2014-08-02,4589,74827000,1,1,2025-12
네이키드 런치,2025-06-25,4577,43825700,1,1,2025-09
바라나시,2018-05-24,4552,32044100,1,1,2026-03
킹덤2: 아득한 대지로,2022-11-16,4543,37959200,2,12,2024-11
세 가지 색: 레드,1994-09-17,4537,43442100,1,3,2025-11
마거리트의 정리,2024-06-27,4532,43397439,1,1,2025-10
터널,2025-12-31,4522,34786900,40,304,2026-01
공드리의 솔루션북,2024-08-14,4518,43525000,1,1,2024-10
킹덤4: 대장군의 귀환,2024-11-20,4500,30111620,1,1,2025-03
끝없음에 관하여,2021-12-16,4487,40868460,1,1,2025-05
해피 아워,2021-12-09,4468,67959800,1,2,2026-05
바바라,2013-03-21,4428,38345900,2,5,2025-10
반 고흐. 밀밭과 구름 낀 하늘,2025-07-30,4425,34431000,1,9,2025-09
마리우폴에서의 20일,2024-11-06,4406,36353060,1,1,2025-12
비커밍 아스트리드,2021-05-12,4397,34422940,3,9,2024-09
보일링 포인트,2022-08-04,4381,44365853,1,2,2026-02
천국의 열쇠,,4367,8779000,1,2,2026-06
새드 베케이션,2008-03-13,4356,29820000,1,3,2024-12
포제션,2025-10-08,4338,43136840,4,26,2025-11
진홍의 평원,,4323,8703000,1,18,2025-03
클럽 제로,2024-01-24,4321,38153125,1,1,2025-09
경멸,2026-07-15,4320,43587500,37,204,2026-07
당나귀 EO,2023-10-03,4314,39751748,1,1,2025-12
튜즈데이,2026-01-14,4250,36056800,3,15,2026-02
해는 또다시 뜬다,,4245,8457000,1,6,2025-10
이상한 나라의 달빛요정,2023-10-19,4191,34363856,1,3,2025-05
세 가지 색: 화이트,1994-06-18,4185,38706000,1,4,2025-11
맨츄리안 캔디데이트,,4183,9136000,1,4,2026-03
탠저린,2018-01-25,4179,32865500,1,1,2026-01
공포의 보수,,4175,9601000,1,6,2025-08
조상님이 보고계셔,2025-11-27,4166,30836700,35,156,2025-12
가슴에 빛나는 별,,4152,8671000,1,6,2025-04
부에나 비스타 소셜 클럽 2: 아디오스,2017-10-26,4122,31662000,1,1,2025-08
백야,,4076,9360500,1,6,2026-05
12명의 성난 사람들,,4075,10520000,2,26,2025-12
베이비 길들이기,,4069,9350000,1,12,2026-04
마티,,4055,8175000,1,6,2026-04
브레이킹 아이스,2025-06-04,4050,38345000,1,3,2025-08
바쿠라우,2021-09-02,4040,33529660,1,6,2026-07
모네의 수련. 물과 빛의 마법,2025-06-25,4017,28374300,1,1,2025-10
어리석은 자는 누구인가,2026-01-07,4013,44548400,2,8,2026-02
파티마가 사랑한 계절,2026-05-13,4012,38197200,1,1,2026-07
애시드 레인: 죽음의 비,2024-11-27,3994,32467500,38,161,2024-12
아이다,2012-12-22,3963,93472000,1,1,2025-10
라스트 썸머,2024-04-03,3950,33512500,1,7,2024-05
라스트 필름 쇼,2023-04-12,3950,37076896,1,2,2024-03
타잔과 친구들,,3940,8265000,1,12,2026-07
내가 처음으로 사랑한 소녀,2022-04-27,3922,33304370,1,1,2024-11
헨리 5세,,3917,7950000,1,6,2025-01
레네트와 미라벨의 네가지 모험,,3916,39772500,1,3,2026-07
애정,,3913,7966000,1,3,2025-07
그레타 툰베리,2021-06-17,3903,30497100,1,2,2025-09
이제 다시 시작하려고 해,2025-04-23,3865,34968500,1,2,2025-07
보테로,2020-09-24,3863,31706840,1,6,2026-05
인터멧조,,3824,8113000,1,18,2026-04
보와니의 분기점,,3815,8082000,1,20,2026-01
