영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
더 헌트,2013-01-24,37076,279557300,1,1,2025-12
어나더 라운드,2022-01-19,37017,343140354,1,6,2026-04
반교: 디텐션,2020-08-13,36503,326978250,1,1,2025-07
탑건,1987-12-19,35924,344556170,123,1045,2026-05
우리의 20세기,2017-09-27,35854,292536100,1,2,2024-01
세 번째 살인,2017-12-14,35631,290738500,1,3,2025-05
아비정전,1990-12-22,35616,272112660,2,17,2026-04
사랑도 통역이 되나요?,2004-02-20,35477,238606000,1,9,2026-03
엘르,2017-06-15,35461,279712100,1,1,2024-11
혐오스런 마츠코의 일생,2007-04-12,35369,278484000,10,45,2025-09
펭귄 하이웨이,2018-10-18,34932,278016909,3,24,2024-05
위 리브 인 타임,2026-04-08,34766,267302350,1,2,2026-06
썸머 필름을 타고!,2022-07-20,34704,329637026,1,2,2026-07
난징사진관,2025-11-05,34703,315045380,4,21,2025-12
멜랑콜리아,2012-05-17,34330,299006283,1,3,2026-02
슈퍼소닉,2016-11-24,34079,331701208,1,4,2025-12
다가오는 것들,2016-09-29,33889,271411234,1,1,2025-04
큐어,2022-07-06,33686,351423342,13,82,2026-07
메이 디셈버,2024-03-13,33620,310032799,1,2,2024-12
톰보이,2020-05-14,33508,302518180,1,10,2026-05
서스페리아,2019-05-16,33135,303331265,1,1,2025-04
에밀리아 페레즈,2025-03-12,33103,267151700,1,1,2025-12
태양 아래,2016-04-27,33049,206741400,1,1,2024-05
바람과 함께 사라지다,1972-12-23,32479,118547410,1,6,2026-07
러스트 앤 본,2013-05-02,32413,245457900,1,1,2025-04
바르다가 사랑한 얼굴들,2018-06-14,31878,257389534,1,6,2026-05
어글리 시스터,2025-08-20,31866,310562900,7,46,2026-02
분노,2017-03-30,31817,258860662,15,201,2026-04
굿모닝 맨하탄,2014-02-06,31655,227400800,1,2,2025-11
바튼 아카데미,2024-02-21,31621,297503999,1,1,2026-06
드림 시나리오,2024-05-29,31539,258888629,5,39,2024-07
빌리 엘리어트,2001-02-16,31295,225358700,1,2,2025-10
서칭 포 슈가맨,2012-10-11,31253,228230317,1,1,2026-04
피나,2012-08-30,31242,510846800,1,2,2026-07
팬텀 스레드,2018-03-08,31201,259136301,2,47,2026-05
언더더씨: 마법 산호초를 찾아서,2024-06-27,30960,236804755,1,1,2025-04
멀홀랜드 드라이브,2001-11-30,30839,281274482,4,11,2026-02
데드데드 데몬즈 디디디디 디스트럭션: 파트1,2025-01-08,30801,259858020,1,9,2026-07
폭탄,2026-03-18,30798,241480450,5,5,2026-05
페인 앤 글로리,2020-02-05,30738,236670420,1,2,2026-04
러브 라이즈 블리딩,2024-07-10,30616,242722950,1,9,2025-04
베러맨,2025-04-09,30612,240127300,1,9,2025-06
루비 스팍스,2018-05-10,30092,265591900,1,3,2024-04
그린 나이트,2021-08-05,29762,276839680,3,19,2024-08
자전거 탄 소년,2012-01-19,29712,239468000,1,2,2025-07
퍼펙트 블루,2004-05-26,29639,344215080,1,4,2025-12
이노센스,2004-10-08,29605,204477100,58,525,2025-11
몬테크리스토 백작,2026-02-13,29566,248438160,1,2,2026-05
예언자,2010-03-11,29193,233096700,3,19,2025-05
부에나 비스타 소셜 클럽,2001-03-01,29150,231495051,1,2,2026-07
퀴어,2025-06-20,29104,279192200,1,1,2025-12
스왈로우테일 버터플라이,2005-06-23,28769,261357560,4,35,2025-09
아키라,2017-08-31,28680,276856100,11,119,2026-02
콜드 워,2019-02-07,28455,234853773,1,6,2026-07
사운드 오브 뮤직,1978-02-04,28405,171251100,13,80,2026-03
사랑은 낙엽을 타고,2023-12-20,28339,269157881,1,2,2026-07
앙: 단팥 인생 이야기,2015-09-10,28226,224548362,1,2,2025-06
짝사랑 세계,2026-06-24,27836,232919130,115,1519,2026-07
척의 일생,2025-12-24,27793,268950730,1,1,2026-04
포레스트 검프,1994-10-15,27651,213198419,98,1413,2024-12
아임 낫 데어,2008-05-29,27256,186944800,1,2,2025-09
귀향,2006-09-21,27110,186551900,1,4,2026-07
리빙: 어떤 인생,2023-12-13,27056,247920918,1,1,2025-12
재키,2017-01-25,26960,211608743,1,12,2025-04
우연과 상상,2022-05-04,26835,264075440,1,2,2025-08
나의 올드 오크,2024-01-17,26446,242020906,1,1,2026-05
리틀 엠마,2024-10-25,26297,189395100,2,7,2024-12
북극백화점의 안내원,2024-06-19,25928,225470800,1,1,2026-06
굿 포츈,2026-01-07,25871,227897170,1,1,2026-02
노스페라투,2025-01-15,25830,263917500,8,27,2025-03
릴리 슈슈의 모든 것,2005-06-23,25674,220302336,1,2,2025-12
언노운 걸,2017-05-03,25577,205065900,1,1,2025-08
호밀밭의 반항아,2018-10-18,25541,206203157,15,43,2024-09
르누아르,2026-04-22,25468,188773340,1,6,2026-07
석류의 빛깔,2025-11-26,25334,255924800,1,10,2026-05
원더풀 라이프,2001-12-09,25284,213422600,1,7,2026-06
마리아,2025-04-16,25082,225762160,1,7,2025-08
물랑루즈,2001-10-26,25028,173333855,22,283,2026-02
포풍추영,2025-09-20,24921,282691000,2,18,2025-12
라이스보이 슬립스,2023-04-19,24901,220205622,1,1,2024-07
바그다드 카페 : 디렉터스컷,2016-07-14,24604,177972309,1,2,2025-08
행복한 라짜로,2019-06-20,24451,206767440,1,1,2026-05
청설,2010-06-17,24442,189144600,19,123,2025-02
용감한 돌고래 벨루와 바닷속 친구들,2024-03-13,24426,179074580,1,4,2025-10
카사블랑카,1999-04-03,24216,75135952,1,3,2026-02
해피 플라이트,2009-07-16,24172,166881000,1,1,2025-10
프로메어,2022-10-20,24135,261709036,1,1,2026-07
뒷자리에 태워줘,2026-05-27,24124,221215550,7,30,2026-07
캣츠토피아,2020-04-30,24007,201279160,1,3,2025-05
홀리 모터스,2013-04-04,23778,189397300,1,1,2024-12
영웅본색,1987-05-23,23777,164377824,56,368,2024-04
레토,2019-01-03,23530,208314672,1,4,2026-07
누벨바그,2025-12-31,23477,189037750,1,8,2026-04
크리스마스에 기적을 만날 확률,2007-12-12,23272,191690060,1,4,2025-12
화이트 버드,2025-03-12,23194,172963900,1,2,2025-05
베이비걸,2025-10-29,22859,176950720,2,2,2026-01
쿼바디스,1973-01-13,22824,41820982,1,9,2026-02
태풍 클럽,2024-06-26,22793,230987941,1,1,2026-03
철벽선생,2019-03-14,22788,189117100,3,12,2024-03
미세리코르디아,2025-07-16,22766,225239950,4,17,2026-01
십계,1973-06-16,22528,45162072,1,4,2025-12
연소일기,2024-11-13,22490,197373720,2,10,2025-01
카메라를 멈추면 안 돼!,2018-08-23,22465,204731766,1,1,2025-12
꼬마돼지 베이브와 타피티,2025-11-13,22441,180779700,6,21,2025-12
휘트니,2018-08-23,22115,176297027,1,1,2024-12
나쁜 교육,2004-09-17,22018,146499600,1,3,2026-07
무간도,2003-02-21,21686,173718400,12,91,2024-12
누구를 위하여 종은 울리나,1972-03-18,21572,40502086,1,10,2026-06
리즈와 파랑새,2018-10-09,21431,176472400,1,1,2024-10
고스트캣 앙주,2025-01-22,21364,189188300,6,28,2025-03
로렌스 애니웨이,2013-12-19,21078,171852356,1,1,2026-05
다음 침공은 어디?,2016-09-08,21025,158017700,1,1,2024-01
샤인 리마스터링,1997-01-25,20960,164226541,1,2,2024-11
초원의 빛,1972-03-18,20946,42574500,1,5,2026-04
피아니스트,2003-01-01,20639,158742702,1,3,2024-08
환상의 빛,2016-07-07,20574,164868500,1,3,2026-07
미드 90,2019-09-25,20516,169421288,1,1,2024-02
칠드런 오브 맨,2016-09-22,20492,167771200,1,3,2025-08
남색대문,2021-08-18,20466,200661560,1,1,2025-10
닥터 지바고,1978-01-01,20442,66414700,1,2,2025-10
200% 울프: 최강 푸들이 될 거야!,2025-03-12,20261,151062900,1,2,2025-05
바커스: 슈퍼스타가 될 거야,2024-06-01,20194,143076100,3,17,2024-08
애수,,20169,44622000,1,6,2026-04
펫 트레인,2026-03-28,20011,151223550,2,7,2026-05
말없는 소녀,2023-05-31,19910,183796177,4,30,2025-07
비욘드 유토피아,2024-01-31,19878,188993099,1,2,2026-03
모정,1972-12-09,19654,40669000,1,6,2026-06
탐정 말로,2024-03-21,19546,142410400,40,128,2024-04
새벽의 모든,2024-09-18,19482,180713300,1,3,2026-05
퐁네프의 연인들,1992-04-18,19454,180132608,1,1,2026-05
아멜리에,2001-10-19,19386,180966650,1,1,2026-07
우리에게는 아직 내일이 있다,2026-03-04,19378,167570340,1,1,2026-07
"1초 앞, 1초 뒤",2024-06-19,19051,166231939,21,73,2024-07
보리밭을 흔드는 바람,2006-11-02,19016,139101620,1,1,2025-08
어파이어,2023-09-13,18999,189364891,1,1,2025-12
돌핀보이: 푸른 바다의 수호자,2026-06-03,18966,162538250,6,41,2026-07
사랑을 카피하다,2011-05-05,18899,145036100,1,2,2026-02
두 검사,2026-04-01,18812,174723610,12,104,2026-06
비기너스,2011-11-10,18781,149047000,1,1,2026-02
리얼 페인,2025-01-15,18658,178517080,1,1,2025-07
전쟁과 평화,1977-09-27,18631,38024774,1,4,2026-07
지상에서 영원으로,,18596,40561500,1,6,2026-07
세븐,1995-11-11,18568,177904400,24,322,2025-10
앤젤스 셰어: 천사를 위한 위스키,2013-05-16,18337,145219871,1,2,2024-01
비발디와 나,2026-04-29,18242,160258900,10,60,2026-07
이매큘레이트,2024-07-17,18142,168665912,3,18,2024-08
경계선,2019-10-24,18132,151646880,1,1,2024-06
미야자키 하야오: 자연의 영혼,2025-05-28,18061,147879500,1,1,2025-08
마음의 행로,,17818,36054500,1,4,2025-12
신과 인간,2012-01-19,17803,128262500,1,2,2024-10
사랑은 비를 타고,,17747,102964765,1,12,2024-06
삼손과 데릴라,1974-12-21,17570,32843318,1,3,2025-12
우리가 빛이라 상상하는 모든 것,2025-04-23,17561,165228200,1,3,2026-05
더 스퀘어,2018-08-02,17443,142510400,1,1,2026-06
블루 발렌타인,2012-05-31,17420,135668700,1,16,2026-04
컴온 컴온,2022-06-30,17400,159995000,1,9,2026-01
쉘부르의 우산,1992-09-26,17396,126325168,1,2,2026-05
"파리, 텍사스",1987-08-29,17344,178285900,1,4,2026-07
힌드의 목소리,2026-04-15,17331,158717380,12,76,2026-06
마더스,2024-04-03,17275,149829982,2,8,2024-05
클로즈 유어 아이즈,2024-11-06,17211,166756760,1,1,2026-04
아르코,2026-03-11,16970,149109760,2,4,2026-05
사마에게,2020-01-23,16966,136407472,1,1,2026-04
키리에의 노래,2023-11-01,16928,152126143,3,13,2024-09
대장 부리바,1973-06-29,16827,34996500,1,16,2026-04
여름정원,2025-08-06,16760,157921160,1,1,2026-05
