순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
35,기적의 시작,2024-02-22,12세이상관람가,다큐멘터리,권순도,퓨어웨이픽쳐스,Y,130,137,12968,7149,17362,25331,1.95,55.1,,,,,확정,2068,1715,3256,2178,1258,1755,738,698,1224,1039,398,401,376,258,275
36,땅에 쓰는 시,2024-04-17,전체관람가,다큐멘터리,정다운,(주)영화사 진진,Y,50,50,3357,1539,6258,24236,7.22,45.8,,,,,확정,538,343,383,580,576,378,559,369,302,510,492,559,400,269,320
37,온리 갓 노우즈 에브리띵,2025-08-22,15세이상관람가,"미스터리,스릴러",백승환,(주)트리플픽쳐스,Y,336,336,15803,10999,20876,24232,1.53,69.6,,,,,확정,4318,3829,2852,1266,1292,569,1677,1606,748,741,471,749,324,434,15
38,"괜찮아, 앨리스",2024-11-13,전체관람가,다큐멘터리,양지혜,미디어나무(주),Y,99,99,8732,1381,11121,23956,2.74,15.8,,,,,확정,6229,453,389,688,304,270,399,636,552,529,317,79,172,104,25
39,피렌체,2026-01-07,12세이상관람가,드라마,이창열,영화로운 형제,Y,198,198,15111,6721,18909,22717,1.5,44.5,,,,,확정,3304,2158,2216,2487,2018,1158,1770,435,397,389,899,1127,242,309,41
40,백산 - 의령에서 발해까지,2025-02-05,전체관람가,다큐멘터리,진재운,(주)드림팩트엔터테인먼트,Y,30,42,601,230,984,22472,37.39,38.3,,,,,확정,74,47,60,92,78,57,193,126,155,62,4,0,17,19,62
41,폭락,2025-01-15,15세이상관람가,"드라마,범죄",현해리,"주식회사 무암,영화로운 형제",Y,376,376,20371,9729,21446,22386,1.1,47.8,,,,,확정,4675,3108,3245,3682,2802,1216,1643,171,202,129,179,186,100,108,17
42,3670,2025-09-03,15세이상관람가,"드라마,멜로/로맨스",박준호,(주)엣나인필름,Y,72,72,7994,3862,12864,22121,2.77,48.3,,,,,확정,1504,868,946,1346,1570,720,1040,528,672,783,1129,873,389,496,275
43,바다호랑이,2025-06-25,15세이상관람가,드라마,정윤철,영화로운 형제,Y,165,165,10397,4720,14635,22043,2.12,45.4,,,,,확정,1954,1630,2177,1208,1335,841,1252,771,497,406,713,664,327,860,28
44,딸에 대하여,2024-09-04,12세이상관람가,드라마,이미랑,"찬란,스튜디오 에이드",Y,106,106,9282,4481,14323,21611,2.33,48.3,,,,,확정,1479,1176,1357,1679,1445,730,1416,718,602,581,930,783,1051,376,612
45,하얀 차를 탄 여자,2025-10-29,15세이상관람가,스릴러,고혜진,(주)바이포엠스튜디오,Y,364,364,16866,8834,19148,20404,1.21,52.4,,,,,확정,3194,1762,2353,3429,3052,1329,1747,297,194,332,432,380,164,483,47
46,슬라이드 스트럼 뮤트,2026-02-26,15세이상관람가,"드라마,미스터리",박세영,(주)엣나인필름,Y,117,120,13778,9317,15835,19821,1.44,67.6,,,,,확정,3119,1273,4770,3274,716,387,239,383,273,549,372,160,183,137,272
47,슈가,2026-01-21,전체관람가,"드라마,가족",최신춘,"스튜디오타겟(주),(주)삼백상회",Y,319,319,12511,6676,13700,19071,1.52,53.4,,,,,확정,1951,1869,2008,2460,2208,794,1221,117,84,197,159,255,187,190,19
48,써니데이,2025-02-19,12세이상관람가,드라마,이창무,(주)트리플픽쳐스,Y,349,349,14712,5423,17410,18881,1.28,36.9,,,,,확정,4145,2451,1743,2190,1490,878,1815,299,273,208,799,1046,42,31,3
49,추적,2025-08-06,12세이상관람가,다큐멘터리,최승호,(주)엣나인필름,Y,111,121,10649,4869,12312,18575,1.74,45.7,,,,,확정,1782,1647,1737,1578,1554,846,1505,243,275,254,350,325,97,119,84
50,원정빌라,2024-12-04,15세이상관람가,"공포(호러),스릴러",김선국,(주)스마일이엔티,Y,164,164,13740,6455,17107,18312,1.33,47.0,,,,,확정,2421,1539,2215,2490,1750,854,2471,432,536,465,336,451,974,173,64
51,바람의 세월,2024-04-03,12세이상관람가,다큐멘터리,"김환태,문종택","(주)시네마달,주식회사 연분홍프로덕션",Y,47,47,3976,1836,10836,18007,4.53,46.2,,,,,확정,897,688,792,504,540,220,335,707,641,945,1006,851,587,2123,797
52,전력질주,2025-09-10,12세이상관람가,드라마,이승훈,"(주)레드아이스 엔터테인먼트,(주)삼백상회",Y,168,179,12859,6537,15033,17780,1.38,50.8,,,,,확정,3229,1671,2462,1505,2570,747,675,225,289,479,425,381,132,243,67
53,런닝맨: 라이트&쉐도우,2026-04-11,전체관람가,애니메이션,윤준상,(주)로커스,Y,196,196,13050,12552,15364,17771,1.36,96.2,,,,,확정,6701,5851,194,146,79,41,38,944,1200,35,87,13,6,29,635
54,박정희: 경제대국을 꿈꾼 남자,2024-07-10,12세이상관람가,"공연,뮤지컬,드라마",손현우,메가박스중앙(주),Y,230,230,9432,3816,12946,16099,1.71,40.5,,,,,확정,1865,1493,1040,1294,1482,1020,1238,345,374,723,483,445,604,540,139
55,수카바티: 극락축구단,2024-07-31,12세이상관람가,다큐멘터리,"선호빈,나바루","영화연구소,(주)영화사 진진",Y,74,75,10215,5004,11772,14939,1.46,49.0,,,,,확정,2249,1705,2469,1415,1120,421,836,180,210,256,335,299,121,156,68
56,하나 코리아,2026-07-08,12세이상관람가,드라마,프레드릭 쇨베르,"(주)트리플픽쳐스,스튜디오 초이스 주식회사",Y,170,170,11267,4908,12877,14506,1.29,43.6,,,,,,2500,2136,2139,1388,1381,730,993,161,174,321,295,287,222,150,0
57,하와이 연가,2024-10-30,전체관람가,드라마,이진영,"씨지브이 아이스콘,나우 프로덕션",Y,44,52,6775,2464,9220,14252,2.1,36.4,,,,,확정,998,2444,902,767,795,503,366,849,375,58,674,172,69,248,33
58,1980 사북,2025-10-29,12세이상관람가,다큐멘터리,박봉남,(주)엣나인필름,Y,40,40,4274,2564,5213,14229,3.33,60.0,,,,,확정,368,464,1290,672,602,287,591,141,141,147,61,193,137,119,119
59,"침몰 10년, 제로썸",2024-11-21,12세이상관람가,다큐멘터리,윤솔지,한국스마트협동조합,Y,2,45,1440,712,2133,13582,9.43,49.4,,,,,확정,174,0,227,485,89,254,211,151,286,0,0,136,120,0,167
60,보이,2026-01-14,15세이상관람가,"범죄,멜로/로맨스",이상덕,(주)영화특별시에스엠씨,Y,145,145,11382,4253,11639,13360,1.17,37.4,,,,,확정,2765,2185,1990,1480,783,653,1526,19,26,21,63,20,16,92,3
61,공포특급,2025-04-02,15세이상관람가,"공포(호러),스릴러",김진웅,(주)스튜디오디에이치엘,Y,164,166,12168,6655,12939,13238,1.09,54.7,,,,,확정,2041,1315,1586,2663,2406,649,1508,47,28,154,235,206,60,41,4
62,더 킬러스,2024-10-23,청소년관람불가,"드라마,액션,스릴러","김종관,노덕,장항준,이명세",주식회사 루믹스미디어,Y,101,108,8282,3769,10280,13046,1.58,45.5,,,,,확정,1898,1538,2130,868,771,359,718,359,328,258,207,525,195,126,151
63,목화솜 피는 날,2024-05-22,12세이상관람가,드라마,신경수,(주)스튜디오디에이치엘,Y,69,98,3884,2141,6230,12860,3.31,55.1,,,,,확정,302,682,545,1082,514,246,513,243,347,228,152,744,152,480,133
64,1923 간토대학살,2024-08-15,12세이상관람가,다큐멘터리,"김태영,최규석",(주)영화특별시에스엠씨,Y,26,38,4251,2159,7330,12734,3.0,50.8,,,,,확정,641,380,891,888,645,483,323,763,456,588,478,248,254,292,99
65,막걸리가 알려줄거야,2024-02-28,전체관람가,"드라마,SF,코미디",김다민,"판씨네마(주),스튜디오 초이스 주식회사",Y,70,73,5009,2520,6269,12607,2.52,50.3,,,,,확정,829,639,860,1039,621,447,574,137,74,189,385,270,92,113,72
66,극장판 고래와 나,2024-10-30,전체관람가,다큐멘터리,이큰별,주식회사 썬더필름,Y,118,123,7188,4157,9084,12543,1.74,57.8,,,,,확정,1021,889,830,1606,1721,370,751,278,113,195,449,601,105,155,65
67,만남의 집,2025-10-15,12세이상관람가,드라마,차정윤,(주)마노엔터테인먼트,Y,87,87,8680,3866,9236,12506,1.44,44.5,,,,,확정,1890,1101,1121,1419,1326,482,1341,39,43,36,271,43,41,83,48
68,순례자들은 왜 돌아오지 않는가,2026-06-03,전체관람가,애니메이션,,(주)영화특별시에스엠씨,Y,138,138,7143,2182,10666,12230,1.71,30.5,,,,,확정,3379,1035,483,647,1052,193,354,79,1573,626,458,692,40,55,42
69,내 손끝에 너의 온도가 닿을 때,2024-05-15,15세이상관람가,"멜로/로맨스,드라마",양경희,주식회사 넘버쓰리픽쳐스,Y,17,20,2919,1728,4871,12025,4.12,59.2,,,,,확정,622,270,270,779,679,157,142,283,133,98,600,648,102,88,256
70,세기말의 사랑,2024-01-24,12세이상관람가,드라마,임선애,"(주)엔케이컨텐츠,(주)디스테이션",Y,118,123,8986,3916,10182,11982,1.33,43.6,,,,,확정,1676,1433,1897,1004,1015,526,1435,688,168,47,82,53,95,63,21
71,아침바다 갈매기는,2024-11-27,12세이상관람가,"드라마,가족",박이웅,(주)트리플픽쳐스,Y,47,47,5678,2735,6918,11195,1.97,48.2,,,,,확정,842,838,615,1115,1005,503,760,146,128,150,162,317,95,242,40
72,판문점,2024-06-19,12세이상관람가,다큐멘터리,송원근,(주)엣나인필름,Y,82,82,4410,1737,6060,11177,2.53,39.4,,,,,확정,647,812,465,490,782,328,886,370,390,353,204,259,54,20,88
73,춘천대첩 72시간,2024-11-13,전체관람가,다큐멘터리,"최동호,장이레",(주)다자인소프트,Y,25,52,4169,1991,5716,11169,2.68,47.8,,,,,확정,209,1132,1172,412,407,480,357,581,406,211,130,23,137,59,256
74,여름이 지나가면,2025-07-09,15세이상관람가,드라마,장병기,(주)엣나인필름,Y,58,58,2969,1353,4383,11067,3.73,45.6,,,,,확정,659,364,278,590,485,266,327,197,152,140,221,438,142,124,90
75,미망,2024-11-20,12세이상관람가,"멜로/로맨스,드라마",김태양,(주)영화사 진진,Y,57,57,5197,2829,6749,10911,2.1,54.4,,,,,확정,666,601,1121,1007,701,452,649,277,220,123,275,396,146,115,110
76,목소리들,2025-04-02,12세이상관람가,다큐멘터리,지혜원,미디어나무(주),Y,41,140,9017,579,9339,10799,1.2,6.4,,,,,확정,149,8084,181,169,229,98,107,65,47,39,59,55,32,25,17
77,세상 참 예쁜 오드리,2024-10-24,12세이상관람가,"가족,드라마",이영국,"주식회사 콘텐츠존,(주)다자인소프트",Y,172,172,7059,2961,8577,10699,1.52,41.9,,,,,확정,2966,1670,691,600,316,650,166,112,86,947,98,95,102,78,5
78,바로 지금 여기,2025-09-17,12세이상관람가,다큐멘터리,"남태제,문정현,김진열",미디어나무(주),Y,84,84,7643,507,8129,10597,1.39,6.6,,,,,확정,6081,947,116,373,18,5,103,14,168,58,38,110,86,12,100
79,너와 나의 5분,2025-11-05,15세이상관람가,"드라마,멜로/로맨스",엄하늘,(주)트리플픽쳐스,Y,46,47,5071,2545,5923,10287,2.03,50.2,,,,,확정,830,685,964,992,589,261,750,41,40,21,43,93,248,366,419
80,이반리 장만옥,2026-06-10,12세이상관람가,"코미디,드라마",이유진,㈜인디스토리,Y,44,54,2812,1304,4755,9888,3.52,46.4,,,,,확정,507,397,316,536,452,291,313,131,382,195,445,302,199,289,213
81,바람이 전하는 말,2025-11-05,전체관람가,다큐멘터리,양희,판씨네마(주),Y,39,45,1637,782,2718,9764,5.96,47.8,,,,,확정,150,359,251,279,252,194,152,83,283,293,162,123,65,72,73
82,호조,2025-03-12,12세이상관람가,"뮤지컬,드라마",권혁만,(주)드림팩트엔터테인먼트,Y,41,41,2446,1305,4216,9670,3.95,53.4,,,,,확정,340,320,250,241,814,178,303,639,256,143,89,435,61,147,21
83,마지막 숙제,2025-09-03,12세이상관람가,드라마,이정철,"(주)이놀미디어,(주)스튜디오킬러웨일,(주)에스더블유콘텐츠",Y,66,66,2491,1294,4418,9320,3.74,51.9,,,,,확정,457,286,280,574,440,166,288,887,631,141,125,104,16,23,51
84,봄밤,2025-07-09,15세이상관람가,드라마,강미자,(주)시네마달,Y,63,63,4498,2624,5411,9119,2.03,58.3,,,,,확정,876,578,604,815,1205,158,262,100,119,77,171,173,140,133,90
85,여행자의 필요,2024-04-24,12세이상관람가,드라마,홍상수,"(주)영화제작전원사 ,(주)콘텐츠판다",Y,56,56,4355,1916,6252,8723,2.0,44.0,,,,,확정,1138,535,501,796,619,384,382,350,213,216,300,336,312,170,124
86,"결혼, 하겠나?",2024-10-23,12세이상관람가,코미디,김진태,주식회사 로아앤코홀딩스,Y,153,154,7353,3163,7697,8697,1.18,43.0,,,,,확정,1352,1157,963,1146,1054,698,983,23,42,112,47,47,41,32,3
87,남태령,2026-05-20,12세이상관람가,다큐멘터리,김현지,(주)시네마달,Y,60,60,3926,1367,4485,8664,2.21,34.8,,,,,확정,767,741,468,517,382,345,706,40,120,57,110,106,51,75,256
88,기타맨,2025-05-30,15세이상관람가,드라마,"김종면,이선정",주식회사 씨엠닉스,Y,73,73,7655,4117,8123,8520,1.11,53.8,,,,,확정,2275,1003,839,561,482,544,1951,212,149,40,24,41,0,2,2
