순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
89,광장,2026-01-15,12세이상관람가,애니메이션,김보솔,(주)스튜디오디에이치엘,Y,125,125,4493,2413,6822,8305,1.85,53.7,,,,,확정,1272,383,1126,904,206,269,333,290,400,519,379,261,187,293,93
90,달팽이 농구단,2025-11-12,15세이상관람가,"드라마,액션",고은기,(주)삼백상회,Y,75,81,5012,1746,5341,8137,1.62,34.8,,,,,확정,939,937,513,614,619,432,958,171,15,95,9,13,7,19,273
91,쥬라기캅스 극장판: 전설의 고대생물을 찾아라,2024-08-15,전체관람가,애니메이션,이재민,(주)바른손이앤에이,Y,215,215,6211,2886,6944,8073,1.3,46.5,,,,,확정,2640,419,1223,1244,178,320,187,10,307,150,132,4,10,120,4
92,아네모네,2024-02-07,15세이상관람가,"코미디,드라마,액션",정하용,㈜인디스토리,Y,57,57,6007,2203,7122,7968,1.33,36.7,,,,,확정,1318,1134,941,625,637,681,671,635,59,56,134,96,62,73,7
93,생츄어리,2024-06-12,12세이상관람가,다큐멘터리,왕민철,(주)시네마달,Y,64,64,5301,2169,5808,7867,1.48,40.9,,,,,확정,980,744,595,732,842,273,1135,84,18,33,213,97,27,35,173
94,최소한의 선의,2024-10-30,12세이상관람가,드라마,김현정,"(주)스튜디오디에이치엘,(주)싸이더스",Y,78,78,4093,2173,4751,7867,1.92,53.1,,,,,확정,540,503,1016,655,502,251,626,18,35,13,82,19,16,475,16
95,여성국극 끊어질듯 이어지고 사라질듯 영원하다,2025-03-19,12세이상관람가,다큐멘터리,유수연,(주)시네마달,Y,70,70,5828,2062,6182,7865,1.35,35.4,,,,,확정,1156,742,487,797,778,416,1452,25,23,105,68,84,15,34,0
96,쇼타씨의 마지막 출장,2026-05-27,12세이상관람가,드라마,이주형,(주)트리플픽쳐스,Y,80,80,4947,1985,5432,7780,1.57,40.1,,,,,확정,1126,926,496,692,797,270,640,136,58,82,56,59,52,42,32
97,충충충,2026-06-17,15세이상관람가,범죄,한창록,(주)엣나인필름,Y,70,70,4611,1451,5572,7585,1.64,31.5,,,,,확정,1266,987,392,540,519,336,571,207,116,111,135,98,128,166,53
98,수유천,2024-09-18,15세이상관람가,드라마,홍상수,"(주)영화제작전원사 ,(주)콘텐츠판다",Y,77,79,4102,1664,5312,7507,1.83,40.6,,,,,확정,1190,553,441,654,569,318,377,242,98,115,217,173,148,217,96
99,"오빠, 남진",2024-09-04,12세이상관람가,"공연,다큐멘터리",정인성,(주)스튜디오디에이치엘,Y,138,138,5438,2702,6410,7501,1.38,49.7,,,,,확정,1220,785,544,1380,778,319,412,162,208,49,89,241,110,113,93
100,되살아나는 목소리,2024-11-13,12세이상관람가,다큐멘터리,"박수남,박마의","(주)시네마달,푸른영상",Y,37,39,3491,1714,5980,7400,2.12,49.1,,,,,확정,414,250,814,516,384,463,650,271,229,236,464,586,259,444,8
101,누룩,2026-04-15,15세이상관람가,"가족,미스터리,드라마",장동윤,(주)로드쇼플러스,Y,76,76,4640,1979,5217,6912,1.49,42.7,,,,,확정,1190,529,542,758,679,261,681,139,142,76,141,23,14,42,1
102,그 여름날의 거짓말,2024-08-28,15세이상관람가,"멜로/로맨스,미스터리",손현록,(주)마노엔터테인먼트,Y,48,48,3415,1480,6083,6740,1.97,43.3,,,,,확정,488,472,368,564,548,248,727,537,441,369,404,864,26,27,9
103,다우렌의 결혼,2024-06-12,12세이상관람가,드라마,임찬익,(주)트리플픽쳐스,Y,46,52,4258,1902,4715,6680,1.57,44.7,,,,,확정,902,493,602,775,525,261,700,83,25,58,64,122,35,70,4
104,조선인 여공의 노래,2024-08-07,전체관람가,다큐멘터리,이원식,(주)시네마달,Y,48,48,3954,1543,4643,6679,1.69,39.0,,,,,확정,743,568,590,475,478,208,892,72,167,102,69,98,67,114,25
105,미스매치,2026-04-23,12세이상관람가,"코미디,가족",손태웅,"(주)제이앤씨미디어그룹,주식회사 스튜디오 빅",Y,99,107,3644,1580,4459,6673,1.83,43.4,,,,,확정,664,376,687,517,556,678,166,58,75,97,150,50,87,298,406
106,힘,2025-11-27,15세이상관람가,"액션,드라마",최지온,시네마 뉴원,Y,13,13,2793,1680,3833,6626,2.37,60.2,2835,22.2,6074,27.7,확정,630,432,1001,247,210,160,113,99,162,104,254,120,157,144,130
107,부전시장,2025-03-27,15세이상관람가,드라마,김시우,주식회사 블루필름웍스,Y,40,41,1859,830,3071,6410,3.45,44.6,,,,,확정,519,286,231,313,156,172,182,87,139,151,284,191,216,144,157
108,언니 유정,2024-12-04,12세이상관람가,"가족,드라마",정해일,찬란,Y,56,56,4110,1557,4445,6307,1.53,37.9,,,,,확정,1211,483,542,635,380,245,614,34,52,24,47,77,60,41,12
109,케이 넘버,2025-05-14,12세이상관람가,다큐멘터리,조세영,"미디어나무(주),선보필름,(주)마노엔터테인먼트",Y,44,44,3870,1571,4310,6296,1.63,40.6,,,,,확정,841,503,486,537,548,281,674,84,34,30,44,113,54,81,28
