영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
교생실습,2026-05-13,34679,286244400,1,3,2026-07
봄날,2022-04-27,34245,239966830,1,1,2024-05
장손,2024-09-11,34067,305297600,1,1,2026-05
고백,2021-02-24,32661,232014600,1,16,2024-02
노회찬6411,2021-10-14,32350,277674000,2,2,2026-07
아가씨(확장판),,31536,271784450,2,69,2026-06
다른나라에서,2012-05-31,31272,242496200,2,15,2024-05
한란,2025-11-26,30937,253626710,1,2,2026-06
찬실이는 복도 많지,2020-03-05,30438,259150830,1,1,2026-07
아메바 소녀들과 학교괴담: 개교기념일,2024-11-06,30109,259103600,1,1,2025-11
춘희막이,2015-09-30,29660,206226465,1,1,2025-09
파수꾼,2011-03-03,28651,230790200,1,1,2026-03
"다시 만날, 조국",2025-05-14,28612,261594620,1,5,2025-08
그녀에게,2024-09-11,28569,243214720,1,1,2026-07
어쩌면 해피엔딩,2025-10-02,27085,252537330,1,1,2026-06
기적의 시작,2024-02-22,27056,230601752,1,1,2025-12
판소리 복서,2019-10-09,26984,204238180,1,1,2024-11
3학년 2학기,2025-09-03,26458,219587400,1,4,2026-07
"초혼, 다시 부르는 노래",2025-03-19,26411,244470800,1,2,2025-10
아들의 이름으로,2021-05-12,26213,221547610,1,2,2026-02
내겐 너무 소중한 너,2021-05-12,25669,225127420,1,1,2026-04
낮술,2009-02-05,25540,179201600,1,1,2025-10
카시오페아,2022-06-01,25151,217700300,1,1,2026-04
꿈의 제인,2017-05-31,25120,205373700,1,2,2026-04
고속도로 가족,2022-11-02,24575,197265100,1,1,2025-05
땅에 쓰는 시,2024-04-17,24548,218378215,1,1,2025-07
"지금, 이대로가 좋아요",2009-04-23,24445,172072600,1,1,2025-06
거인,2014-11-13,24329,183265800,14,38,2024-11
온리 갓 노우즈 에브리띵,2025-08-22,24232,211467020,1,2,2026-06
남매의 여름밤,2020-08-20,24226,203297102,1,1,2025-10
"괜찮아, 앨리스",2024-11-13,23956,213350000,1,1,2026-05
이타미 준의 바다,2019-08-15,23596,191259160,1,1,2024-08
피렌체,2026-01-07,22717,198620980,1,27,2026-04
백산 - 의령에서 발해까지,2025-02-05,22472,153703000,8,16,2025-12
말임씨를 부탁해,2022-04-13,22454,168915570,1,1,2026-06
폭락,2025-01-15,22386,195649820,4,26,2025-02
죄 많은 소녀,2018-09-13,22374,190032150,1,2,2024-12
3670,2025-09-03,22121,228329200,5,15,2026-06
바다호랑이,2025-06-25,22043,197470900,1,1,2026-04
딸에 대하여,2024-09-04,22040,200465780,1,4,2025-09
아이들은 즐겁다,2021-05-05,21680,180061170,1,1,2025-10
아무도 없는 곳,2021-03-31,21216,179368200,1,1,2025-09
하얀 차를 탄 여자,2025-10-29,20404,190461800,2,10,2025-12
슬라이드 스트럼 뮤트,2026-02-26,19821,172308500,1,3,2026-07
나는 나를 해고하지 않는다,2021-01-28,19293,148098800,2,2,2026-07
슈가,2026-01-21,19129,180750000,1,11,2026-07
니얼굴,2022-06-23,19062,169390600,1,1,2026-05
너에게 가는 길,2021-11-17,19042,165083703,1,1,2025-06
써니데이,2025-02-19,18881,162115600,41,172,2025-03
그 후,2017-07-06,18784,143332508,1,2,2026-04
잉투기,2013-11-14,18668,134959600,1,2,2024-12
추적,2025-08-06,18575,171538900,1,2,2025-11
원정빌라,2024-12-04,18312,147144300,2,8,2025-01
마돈나,2015-07-02,18296,142340400,1,1,2024-12
당신자신과 당신의 것,2016-11-10,18203,147983200,1,1,2024-10
바람의 세월,2024-04-03,18007,164742844,1,1,2025-08
비밀의 언덕,2023-07-12,17877,142374793,1,1,2026-07
전력질주,2025-09-10,17870,150739800,5,9,2026-07
