날짜,순위,영화명,개봉일,관객수,관객수증감,누적관객수,매출액,매출점유율,매출액증감,누적매출액,스크린수,상영횟수,좌석수,좌석판매율,좌석점유율
2026-07-06,3,군체,2026-05-21,"9,642","-14,896 (-60.7%)","5,851,949","100,448,800",8.4%,"-152,542,950 (-60.3%)","61,596,254,340",624,"1,416","172,765",5.6%,9.8%
2026-07-06,7,그린랜드 2: 마이그레이션,2026-07-01,"2,588","-4,504 (-63.5%)","38,161","24,689,370",2.1%,"-45,879,870 (-65.0%)","364,502,650",328,526,"66,672",3.9%,3.8%
2026-07-06,8,극장판 도라에몽: 신 진구의 해저비밀성,2026-07-01,"1,604","-9,755 (-85.9%)","41,663","16,379,400",1.4%,"-91,758,200 (-84.9%)","380,171,700",132,387,"50,354",3.2%,2.8%
2026-07-06,9,극장판 암살교실 모두의 시간,2026-07-01,"1,313","-2,140 (-62.0%)","18,533","14,055,050",1.2%,"-22,479,900 (-61.5%)","197,050,650",125,175,"22,023",6.0%,1.2%
2026-07-06,1,눈동자,2026-06-24,"43,650","-83,488 (-65.7%)","886,348","439,248,960",36.7%,"-868,183,300 (-66.4%)","8,983,351,690",994,"3,534","449,042",9.7%,25.4%
2026-07-06,4,마티 슈프림,2026-07-01,"5,506","-7,342 (-57.1%)","75,770","57,034,710",4.8%,"-85,292,270 (-59.9%)","797,423,060",553,"1,020",,,
2026-07-06,6,백룸,2026-05-27,"2,777","-3,610 (-56.5%)","1,194,866","29,501,300",2.5%,"-38,630,660 (-56.7%)","12,749,419,810",229,314,,,
2026-07-06,10,앤팀 브이알 콘서트 : 바운드리스,2026-06-26,"1,041",284 (37.5%),"8,609","37,383,000",3.1%,"10,191,000 (37.5%)","309,282,000",1,8,"1,360",76.5%,0.1%
2026-07-06,5,와일드 씽,2026-06-03,"4,806","-7,443 (-60.8%)","1,308,421","44,918,750",3.8%,"-74,248,640 (-62.3%)","12,655,886,140",491,831,"93,577",5.1%,5.3%
2026-07-06,2,토이 스토리 5,2026-06-17,"30,951","-141,455 (-82.0%)","2,249,447","310,925,150",26.0%,"-1,428,860,600 (-82.1%)","23,071,521,890",987,"3,305","519,657",6.0%,29.4%
2026-07-07,3,군체,2026-05-21,"9,370",-272 (-2.8%),"5,861,313","96,531,700",7.8%,"-3,917,100 (-3.9%)","61,692,729,040",608,"1,379","168,125",5.6%,9.5%
2026-07-07,6,그린랜드 2: 마이그레이션,2026-07-01,"3,039",451 (17.4%),"41,200","28,259,500",2.3%,"3,570,130 (14.5%)","392,762,150",337,540,"67,470",4.5%,3.8%
