순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
396,두 사람,2025-02-12,12세이상관람가,다큐멘터리,반박지은,"반박지은필름,(주)시네마달",Y,26,27,1019,529,1394,2826,2.77,51.9,,,,,확정,216,121,108,182,239,67,86,39,27,58,91,86,26,48,9
397,씨그널: 바다의 마지막 신호,2025-07-16,전체관람가,다큐멘터리,"박정례,이지윤","(주)보더레스랩,(주)스튜디오디에이치엘",Y,20,22,409,173,938,2754,6.73,42.3,,,,,확정,119,36,44,57,72,42,39,30,238,92,32,49,29,59,38
398,페퍼톤스 인 시네마 : 에브리씽 이즈 오케이,2025-05-09,전체관람가,공연,조윤수,"롯데컬처웍스(주)롯시플,(주)영화사 그램",Y,49,49,1949,1498,2518,2692,1.38,76.9,,,,,확정,382,420,696,86,52,279,34,73,78,360,16,26,10,6,20
399,이머시브 시네마: 뽀로로 극장판 스위트캐슬 대모험,2025-12-13,전체관람가,애니메이션,천유림,롯데컬처웍스(주)롯데엔터테인먼트,,1,1,542,542,1526,2679,4.94,100.0,,,,,확정,209,333,0,0,0,0,0,230,209,0,0,0,445,100,199
400,잔챙이,2025-06-18,12세이상관람가,드라마,박중하,"봄베씨네,에이치필름",Y,31,31,1532,634,1693,2663,1.74,41.4,,,,,확정,422,155,152,199,283,106,215,16,13,51,39,17,5,20,3
401,THE 자연인,2025-08-20,12세이상관람가,"코미디,미스터리",노영석,스톤워크,Y,23,26,719,337,1334,2649,3.68,46.9,,,,,확정,83,173,54,150,133,64,62,44,55,30,222,66,115,83,39
402,돌들이 말할 때까지,2024-04-17,12세이상관람가,다큐멘터리,김경만,"(주)디스테이션,무브먼트",Y,48,54,1194,491,1665,2615,2.19,41.1,,,,,확정,359,117,107,161,223,106,121,66,126,43,56,73,48,59,35
403,"직사각형, 삼각형",2026-01-21,15세이상관람가,드라마,이희준,필름다빈,Y,16,16,762,353,1431,2577,3.38,46.3,,,,,확정,197,77,96,75,182,57,78,13,14,151,165,86,229,11,156
404,새벽의 Tango,2026-04-22,15세이상관람가,드라마,김효은,(주)스튜디오디에이치엘,Y,23,23,566,248,1011,2525,4.46,43.8,,,,,확정,180,49,72,81,95,48,41,75,83,85,22,7,57,116,30
405,하우치,2024-11-13,15세이상관람가,"멜로/로맨스,드라마",김명균,주식회사 제이씨엔터웍스,Y,50,50,981,368,1091,2516,2.56,37.5,,,,,확정,164,91,73,215,80,59,299,3,0,2,2,0,103,0,0
