순위,영화명,개봉일,제작연도,제작국가,장르,감독,개봉스크린수,첫주관객,첫주상영횟수,최종누적관객,누적매출액,배수,스크린당관객
384,리틀 블루,2024-06-27,2022,대만,멜로/로맨스,이이팡,0,0,0,35,86000,,
385,21 파라다이스,2024-08-08,2022,스페인,기타,,0,0,0,28,156000,,
386,원 퍼센터,2024-08-23,2023,일본,액션,야마구치 유다이,0,0,0,28,164000,,
387,오시리스,2026-04-23,2025,미국,SF(2),윌리엄 카우프먼,0,0,0,25,150000,,
388,파이브 데이즈,2025-09-30,2023,중국,드라마(1),,0,0,0,24,144000,,
389,사탄의 부름,2025-12-24,2023,캐나다,다큐멘터리(1),,0,0,0,24,94000,,
390,시스터즈,2026-01-28,2024,베트남,공포(호러),,0,0,0,17,92000,,
391,레이턴시,2025-07-24,2024,미국(1),액션(2),,0,0,0,11,73000,,
392,일대무사,2025-08-28,2023,중국,액션,,0,0,0,11,66000,,
393,데드 포 어 달러,2025-09-18,2022,미국,서부극(웨스턴)(1),월터 힐,0,0,0,5,49000,,
394,세틀러스,2024-05-15,2021,남아프리카공화국,SF(1),,0,0,0,1,1000,,
