순위,영화명,개봉일,대표국적,등급,장르,감독,배급사,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
62,류이치 사카모토: 플레잉 디 오케스트라 2014,2025-04-09,일본,전체관람가,공연,,리벳,55,56,1545,848,1889,2092,1.35,54.9,12763,2.0,34201,2.5,확정,250,169,304,253,291,112,166,23,168,45,40,36,18,14,41
63,메이킹 다큐멘터리 `스즈메의 문단속`을 따라가다,2024-01-10,일본,전체관람가,다큐멘터리,마츠모토 소,(주)쇼박스,42,42,1686,233,1774,1774,1.05,13.8,5502,22.0,11305,2.1,확정,1208,141,95,76,62,45,59,22,16,2,14,13,14,7,0
64,사일런트 나잇,2024-07-17,미국,청소년관람불가,"액션,범죄",오우삼,이화배컴퍼니(주),65,65,1294,602,1325,1531,1.18,46.5,10582,2.2,23524,2.6,확정,238,208,225,184,193,126,120,8,2,8,5,0,8,0,16
65,브릭레이어,2025-05-28,헝가리,15세이상관람가,"액션,스릴러",레니 할린,"(주)올스타엔터테인먼트,(주)플레이그램",31,31,643,179,702,1154,1.79,27.8,5452,3.0,8879,2.0,확정,166,114,62,61,56,61,123,7,7,3,1,1,1,39,14
66,폭스 헌트,2025-08-13,홍콩,15세이상관람가,"범죄,액션",장립가,"(주)다자인소프트,(주)제이앤씨미디어그룹",47,47,845,246,939,1148,1.36,29.1,6232,2.8,9382,2.6,확정,177,253,106,72,68,94,75,14,77,0,0,0,0,3,3
67,터커 & 데일 Vs 이블,2024-08-28,미국,청소년관람불가,"코미디,공포(호러)",일라이 크레이그,(주)콘텐츠판다,34,34,1073,378,1133,1133,1.06,35.2,6802,6.7,14967,2.5,확정,454,116,154,147,77,57,68,12,5,3,8,19,9,4,0
68,올 더 네임즈 오브 갓,2024-04-17,헝가리,12세이상관람가,"액션,드라마",다니엘 칼파소로,"(주)이놀미디어,(주)플레이그램",31,31,896,202,896,940,1.05,22.5,4366,12.8,11430,1.8,확정,560,45,51,82,69,54,35,0,0,0,0,0,0,0,0
69,잠행,2024-03-27,홍콩,15세이상관람가,"액션,범죄",관지요,(주)이놀미디어,32,32,787,228,792,932,1.18,29.0,3651,7.4,9388,2.4,확정,269,203,76,100,52,43,44,0,0,0,0,1,4,0,0
70,컬트 시카리오,2024-10-17,미국,15세이상관람가,"미스터리,스릴러,범죄",존 키스,(주)블루라벨픽쳐스,48,48,773,48,789,789,1.02,6.2,4183,16.2,353,13.6,확정,677,16,16,16,16,16,16,16,0,0,0,0,0,0,0
71,방탄소년단 아미: 포에버 위 아 영,2025-07-30,미국,전체관람가,다큐멘터리,,(주)위즈온센,62,63,789,346,789,789,1.0,43.9,7947,2.5,17757,1.9,확정,201,99,124,144,78,56,87,0,0,0,0,0,0,0,0
72,목중무인 : 안하무인,2024-06-27,중국,15세이상관람가,"사극,액션",,(주)스튜디오디에이치엘,50,50,728,8,736,736,1.01,1.1,4381,16.3,99,8.1,확정,712,8,0,0,0,8,0,8,0,0,0,0,0,0,0
73,프리 폴,2025-05-21,러시아,전체관람가,"SF,액션,스릴러",올레흐 우라자이킨,(주)스튜디오디에이치엘,44,44,400,22,605,625,1.56,5.5,3099,11.7,1592,1.4,확정,363,7,8,11,3,6,2,0,145,0,10,10,20,20,20
74,퀸메리호: 저주받은 항해,2025-06-13,미국,15세이상관람가,"미스터리,공포(호러)",개리 쇼어,그린나래미디어(주),37,37,567,513,571,571,1.01,90.5,3093,10.2,6373,8.0,확정,315,113,85,21,16,10,7,4,0,0,0,0,0,0,0
75,무티: 주술살인,2024-01-17,미국,15세이상관람가,"범죄,스릴러,미스터리",조지 갈로,주식회사 제이씨엔터웍스,40,40,489,173,505,505,1.03,35.4,4568,3.6,8952,1.9,확정,165,76,59,65,49,25,50,16,0,0,0,0,0,0,0
76,애프터: 유혹의 끝,2024-02-21,미국,15세이상관람가,멜로/로맨스,캐스틸 랜던,스튜디오 에이드,46,46,469,150,478,485,1.03,32.0,6903,2.9,3029,5.0,확정,202,71,59,50,41,27,19,8,1,0,0,0,0,0,0
77,브레이브 온 파이어,2024-04-17,미국,12세이상관람가,"액션,드라마","피터 파시넬리,닉 라이온",(주)박수엔터테인먼트,38,38,412,147,446,466,1.13,35.7,4583,3.9,9903,1.5,확정,177,32,34,61,52,30,26,0,8,8,0,0,8,10,0
