날짜,영화명,좌석수,좌석판매율,좌석점유율
2024-05-02,목소리의 형태,389,100.0%,0.0%
2024-05-02,키메라,598,10.2%,0.0%
2024-05-02,가여운 것들,741,8.2%,0.0%
2024-05-02,아이 엠 러브,1161,14.4%,0.0%
2024-05-02,아서,340,6.7%,0.0%
2024-05-02,필로우 토크,1144,12.9%,0.0%
2024-05-02,극장판 스파이 패밀리 코드 : 화이트,79,16.4%,0.0%
2024-05-02,"낸 골딘, 모든 아름다움과 유혈사태",356,100.0%,0.0%
2024-05-02,기동전사 건담 시드 프리덤,254,6.6%,0.0%
2024-05-02,패스트 라이브즈,589,0.8%,0.0%
2024-05-02,비거 스플래쉬,884,5.2%,0.0%
2024-05-02,아이엠 티라노,140,70.0%,0.0%
2024-05-02,중경삼림,64,25.0%,0.0%
2024-05-02,꽃다발 같은 사랑을 했다,334,2.9%,0.0%
2024-05-02,녹차의 맛,539,3.5%,0.0%
2024-05-02,추락의 해부,202,0.4%,0.0%
2024-05-02,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,542,2.7%,0.0%
2024-05-02,패왕별희 디 오리지널,126,13.4%,0.0%
2024-05-02,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,284,4.9%,0.0%
2024-05-02,킬링,510,9.6%,0.0%
2024-05-02,아이다호,150,14.6%,0.0%
2024-05-02,청춘 스케치,116,9.4%,0.0%
2024-05-02,더 퍼스트 슬램덩크,897,1.4%,0.0%
2024-05-02,마더스,212,5.6%,0.0%
2024-05-02,골드핑거,54,5.5%,0.0%
2024-05-02,토스카,653,6.1%,0.0%
2024-05-02,알라모,506,11.2%,0.0%
2024-05-02,아기상어 극장판: 사이렌 스톤의 비밀,32,96.8%,0.0%
2024-05-02,공중 트라피스,1040,4.2%,0.0%
2024-05-02,용감한 돌고래 벨루와 바닷속 친구들,59,16.9%,0.0%
2024-05-02,반역자,597,4.0%,0.0%
2024-05-02,메이 디셈버,40,35.0%,0.0%
2024-05-02,아지랑이좌,212,3.3%,0.0%
2024-05-02,와일드 투어,196,2.5%,0.0%
2024-05-02,브레이브 온 파이어,59,16.9%,0.0%
2024-05-02,펭귄 하이웨이,241,2.9%,0.0%
2024-05-02,지고이네르바이젠,212,0.4%,0.0%
2024-05-02,유메지,212,1.4%,0.0%
2024-05-02,블루 자이언트,123,3.2%,0.0%
2024-05-02,에브리씽 에브리웨어 올 앳 원스,123,3.2%,0.0%
2024-05-02,기생수 파트1,98,2.0%,0.0%
2024-05-02,거룩한 분노,150,0.0%,0.0%
2024-05-02,기생수 파트2,98,1.0%,0.0%
2024-05-02,라스트 썸머,253,0.7%,0.0%
2024-05-03,쿵푸팬더4,86822,21.5%,3.1%
2024-05-03,스턴트맨,305369,5.2%,11.0%
2024-05-03,남은 인생 10년,22767,25.3%,0.8%
2024-05-03,챌린저스,20917,10.3%,0.7%
2024-05-03,고스트버스터즈: 오싹한 뉴욕,7360,24.0%,0.2%
2024-05-03,듄: 파트2,2945,13.3%,0.1%
2024-05-03,몬스터 프렌즈,981,65.3%,0.0%
2024-05-03,레옹,2820,11.7%,0.1%
2024-05-03,로봇 드림,1407,19.4%,0.0%
2024-05-03,악은 존재하지 않는다,2269,13.3%,0.0%
2024-05-03,날씨의 아이,1141,31.9%,0.0%
2024-05-03,오멘: 저주의 시작,824,18.2%,0.0%
2024-05-03,극장판 울려라! 유포니엄: 앙상블 콘테스트,2233,2.2%,0.0%
2024-05-03,보티첼리. 피렌체와 메디치,1254,14.5%,0.0%
2024-05-03,고질라 X 콩: 뉴 엠파이어,573,22.3%,0.0%
2024-05-03,키메라,1090,8.4%,0.0%
2024-05-03,가여운 것들,782,13.6%,0.0%
2024-05-03,아서,341,2.0%,0.0%
2024-05-03,극장판 스파이 패밀리 코드 : 화이트,241,4.9%,0.0%
2024-05-03,기동전사 건담 시드 프리덤,377,10.6%,0.0%
2024-05-03,패스트 라이브즈,234,6.8%,0.0%
2024-05-03,중경삼림,114,28.0%,0.0%
2024-05-03,꽃다발 같은 사랑을 했다,30,6.6%,0.0%
2024-05-03,녹차의 맛,510,3.7%,0.0%
2024-05-03,추락의 해부,338,13.6%,0.0%
2024-05-03,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,542,5.5%,0.0%
2024-05-03,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,542,5.1%,0.0%
2024-05-03,더 퍼스트 슬램덩크,774,1.9%,0.0%
2024-05-03,괴물,126,9.5%,0.0%
2024-05-03,마더스,109,7.3%,0.0%
2024-05-03,용감한 돌고래 벨루와 바닷속 친구들,59,16.9%,0.0%
2024-05-03,메이 디셈버,59,13.5%,0.0%
2024-05-03,카르멘,363,9.9%,0.0%
2024-05-03,사랑은 빛,126,3.1%,0.0%
2024-05-03,와일드 투어,196,1.0%,0.0%
2024-05-03,브레이브 온 파이어,41,24.3%,0.0%
2024-05-03,크레센도,52,5.7%,0.0%
2024-05-03,너의 이름은.,123,5.6%,0.0%
2024-05-04,쿵푸팬더4,179447,22.6%,6.0%
2024-05-04,스턴트맨,216643,10.4%,7.2%
2024-05-04,남은 인생 10년,26304,31.0%,0.8%
2024-05-04,챌린저스,16657,18.6%,0.5%
2024-05-04,고스트버스터즈: 오싹한 뉴욕,5039,7.2%,0.1%
2024-05-04,듄: 파트2,3365,24.1%,0.1%
2024-05-04,몬스터 프렌즈,1371,7.5%,0.0%
2024-05-04,레옹,1738,18.1%,0.0%
2024-05-04,로봇 드림,1723,21.8%,0.0%
2024-05-04,악은 존재하지 않는다,2440,16.9%,0.0%
2024-05-04,날씨의 아이,1373,28.5%,0.0%
2024-05-04,오멘: 저주의 시작,913,19.8%,0.0%
2024-05-04,극장판 울려라! 유포니엄: 앙상블 콘테스트,2930,25.1%,0.0%
2024-05-04,보티첼리. 피렌체와 메디치,1045,16.1%,0.0%
2024-05-04,고질라 X 콩: 뉴 엠파이어,1135,31.7%,0.0%
2024-05-04,키메라,867,13.0%,0.0%
2024-05-04,가여운 것들,796,13.9%,0.0%
2024-05-04,아서,360,5.0%,0.0%
2024-05-04,극장판 스파이 패밀리 코드 : 화이트,1087,19.4%,0.0%
2024-05-04,기동전사 건담 시드 프리덤,583,12.1%,0.0%
2024-05-04,패스트 라이브즈,592,4.2%,0.0%
2024-05-04,중경삼림,64,23.4%,0.0%
2024-05-04,녹차의 맛,477,7.5%,0.0%
2024-05-04,추락의 해부,202,6.9%,0.0%
2024-05-04,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,774,6.0%,0.0%
2024-05-04,패왕별희 디 오리지널,126,7.9%,0.0%
2024-05-04,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,826,4.6%,0.0%
2024-05-04,청춘 스케치,92,7.6%,0.0%
2024-05-04,더 퍼스트 슬램덩크,516,2.5%,0.0%
2024-05-04,괴물,216,11.5%,0.0%
2024-05-04,마더스,212,14.6%,0.0%
2024-05-04,골드핑거,54,5.5%,0.0%
2024-05-04,용감한 돌고래 벨루와 바닷속 친구들,59,16.9%,0.0%
2024-05-04,메이 디셈버,262,4.5%,0.0%
2024-05-04,코다,72,5.5%,0.0%
2024-05-04,와일드 투어,196,2.5%,0.0%
2024-05-04,초속5센티미터,210,4.7%,0.0%
2024-05-04,크레센도,52,11.5%,0.0%
2024-05-04,엔드 오브 에반게리온,123,0.8%,0.0%
2024-05-05,쿵푸팬더4,258600,42.0%,8.5%
2024-05-05,남은 인생 10년,28812,36.0%,0.9%
2024-05-05,챌린저스,14941,22.9%,0.4%
2024-05-05,고스트버스터즈: 오싹한 뉴욕,5228,18.0%,0.1%
2024-05-05,듄: 파트2,2159,33.5%,0.0%
2024-05-05,몬스터 프렌즈,4369,8.8%,0.1%
2024-05-05,레옹,1892,18.1%,0.0%
2024-05-05,로봇 드림,3407,17.6%,0.1%
2024-05-05,악은 존재하지 않는다,1772,17.7%,0.0%
2024-05-05,오멘: 저주의 시작,802,18.9%,0.0%
2024-05-05,극장판 울려라! 유포니엄: 앙상블 콘테스트,2933,3.9%,0.0%
2024-05-05,보티첼리. 피렌체와 메디치,1080,23.4%,0.0%
2024-05-05,고질라 X 콩: 뉴 엠파이어,1336,30.4%,0.0%
2024-05-05,키메라,1144,13.0%,0.0%
2024-05-05,가여운 것들,642,6.5%,0.0%
2024-05-05,아서,434,3.9%,0.0%
2024-05-05,극장판 스파이 패밀리 코드 : 화이트,559,31.6%,0.0%
2024-05-05,기동전사 건담 시드 프리덤,614,10.0%,0.0%
2024-05-05,패스트 라이브즈,449,6.0%,0.0%
2024-05-05,드림쏭3,340,58.8%,0.0%
2024-05-05,중경삼림,114,52.6%,0.0%
2024-05-05,녹차의 맛,410,10.4%,0.0%
2024-05-05,추락의 해부,412,7.0%,0.0%
2024-05-05,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,774,4.6%,0.0%
2024-05-05,패왕별희 디 오리지널,228,16.6%,0.0%
2024-05-05,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,826,4.6%,0.0%
2024-05-05,청춘 스케치,58,53.4%,0.0%
2024-05-05,더 퍼스트 슬램덩크,897,4.6%,0.0%
2024-05-05,괴물,196,19.3%,0.0%
2024-05-05,골드핑거,54,1.8%,0.0%
2024-05-05,용감한 돌고래 벨루와 바닷속 친구들,59,16.9%,0.0%
2024-05-05,코다,102,21.5%,0.0%
2024-05-05,아지랑이좌,212,6.6%,0.0%
2024-05-05,말없는 소녀,72,6.9%,0.0%
2024-05-05,더 콕핏,230,6.0%,0.0%
2024-05-05,기생수 파트1,98,2.0%,0.0%
2024-05-05,거룩한 분노,403,0.9%,0.0%
2024-05-06,쿵푸팬더4,200518,40.0%,7.0%
2024-05-06,스턴트맨,199673,11.7%,7.0%
2024-05-06,남은 인생 10년,33156,43.2%,1.1%
2024-05-06,"포켓몬스터: 성도지방 이야기, 최종장",144112,20.8%,5.0%
2024-05-06,악마와의 토크쇼,332,73.7%,0.0%
2024-05-06,쇼생크 탈출,1566,59.1%,0.0%
2024-05-06,챌린저스,17623,20.7%,0.6%
2024-05-06,꼬마참새 리차드: 신비한 보석 탐험대,28354,20.8%,0.9%
2024-05-06,극장판 실바니안 패밀리: 프레야의 선물,30118,14.6%,1.0%
2024-05-06,차이콥스키의 아내,4560,15.6%,0.1%
2024-05-06,듄: 파트2,2591,22.8%,0.0%
2024-05-06,힙노시스: LP 커버의 전설,6079,8.2%,0.2%
2024-05-06,악은 존재하지 않는다,1897,24.9%,0.0%
2024-05-06,고스트버스터즈: 오싹한 뉴욕,6318,19.3%,0.2%
2024-05-06,로봇 드림,2367,16.4%,0.0%
2024-05-06,콜 미 바이 유어 네임,1634,15.8%,0.0%
2024-05-06,레옹,2243,15.9%,0.0%
2024-05-06,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,4782,20.8%,0.1%
2024-05-06,날씨의 아이,1545,42.9%,0.0%
2024-05-06,보티첼리. 피렌체와 메디치,1073,21.7%,0.0%
2024-05-06,극장판 울려라! 유포니엄: 앙상블 콘테스트,2921,2.7%,0.1%
2024-05-06,키메라,883,18.5%,0.0%
2024-05-06,몬스터 프렌즈,2322,8.7%,0.0%
2024-05-06,아이 엠 러브,1195,11.4%,0.0%
2024-05-06,고질라 X 콩: 뉴 엠파이어,1173,31.1%,0.0%
2024-05-06,중경삼림,156,68.5%,0.0%
2024-05-06,내가 마지막 본 파리,1200,29.0%,0.0%
2024-05-06,극장판 스파이 패밀리 코드 : 화이트,714,28.5%,0.0%
2024-05-06,더 퍼스트 슬램덩크,639,3.1%,0.0%
2024-05-06,가여운 것들,894,13.1%,0.0%
2024-05-06,오멘: 저주의 시작,677,18.9%,0.0%
2024-05-06,비거 스플래쉬,448,13.1%,0.0%
2024-05-06,기동전사 건담 시드 프리덤,730,6.7%,0.0%
2024-05-06,용감한 돌고래 벨루와 바닷속 친구들,59,16.9%,0.0%
2024-05-06,아서,520,12.3%,0.0%
2024-05-06,패스트 라이브즈,547,13.1%,0.0%
2024-05-06,게리 쿠퍼의 재회,780,9.7%,0.0%
2024-05-06,사냥꾼의 밤,510,12.3%,0.0%
2024-05-06,아이다호,208,19.2%,0.0%
2024-05-06,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,962,3.1%,0.0%
2024-05-06,녹차의 맛,466,6.4%,0.0%
2024-05-06,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,826,3.3%,0.0%
2024-05-06,추락의 해부,166,27.7%,0.0%
2024-05-06,괴물,52,17.3%,0.0%
2024-05-06,유코의 평형추,885,2.9%,0.0%
2024-05-06,릴리 슈슈의 모든 것,52,50.0%,0.0%
2024-05-06,카르멘,407,12.7%,0.0%
2024-05-06,청춘 스케치,58,67.2%,0.0%
2024-05-06,패왕별희 디 오리지널,198,15.6%,0.0%
2024-05-06,나비부인,68,4.4%,0.0%
2024-05-06,나바론 요새,398,7.5%,0.0%
2024-05-06,크레센도,90,11.1%,0.0%
2024-05-06,펭귄 하이웨이,241,7.4%,0.0%
2024-05-06,메이 디셈버,40,32.5%,0.0%
2024-05-06,와일드 투어,55,1.8%,0.0%
2024-05-06,말없는 소녀,72,15.2%,0.0%
2024-05-06,코다,72,8.3%,0.0%
2024-05-06,이프 온리,126,6.3%,0.0%
2024-05-06,골드핑거,54,5.5%,0.0%
2024-05-06,키리에의 노래: 디렉터스 컷,172,0.5%,0.0%
2024-05-06,과부 새엄마와 여관 혼숙한 썰,83,1.2%,0.0%
2024-05-06,끈적한 손기술로 단백질 터트려줘요,83,1.2%,0.0%
2024-05-06,새아들 꽉찬 단백질 뽑아줬어요,83,1.2%,0.0%
2024-05-06,씨 뿌려달라는 물쌓인 며느리,83,1.2%,0.0%
2024-05-07,쿵푸팬더4,74736,6.1%,3.0%
2024-05-07,스턴트맨,231285,3.7%,9.5%
2024-05-07,남은 인생 10년,42105,11.0%,1.7%
2024-05-07,"포켓몬스터: 성도지방 이야기, 최종장",50100,2.8%,2.0%
2024-05-07,악마와의 토크쇼,411,98.0%,0.0%
2024-05-07,챌린저스,24332,6.7%,1.0%
2024-05-07,꼬마참새 리차드: 신비한 보석 탐험대,10491,7.2%,0.4%
2024-05-07,극장판 실바니안 패밀리: 프레야의 선물,12979,1.8%,0.5%
2024-05-07,차이콥스키의 아내,3302,7.9%,0.1%
2024-05-07,듄: 파트2,3288,9.9%,0.1%
2024-05-07,힙노시스: LP 커버의 전설,4140,10.7%,0.1%
2024-05-07,악은 존재하지 않는다,1194,7.2%,0.0%
2024-05-07,고스트버스터즈: 오싹한 뉴욕,4331,1.8%,0.1%
2024-05-07,로봇 드림,1705,4.8%,0.0%
2024-05-07,콜 미 바이 유어 네임,1300,11.5%,0.0%
2024-05-07,레옹,4168,5.3%,0.1%
2024-05-07,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2998,2.0%,0.1%
2024-05-07,날씨의 아이,1700,10.7%,0.0%
2024-05-07,보티첼리. 피렌체와 메디치,996,12.7%,0.0%
2024-05-07,극장판 울려라! 유포니엄: 앙상블 콘테스트,2513,3.0%,0.1%
2024-05-07,키메라,739,9.6%,0.0%
2024-05-07,몬스터 프렌즈,295,3.0%,0.0%
2024-05-07,아이 엠 러브,646,5.4%,0.0%
2024-05-07,즐거운 영혼,1430,12.3%,0.0%
2024-05-07,고질라 X 콩: 뉴 엠파이어,430,2.5%,0.0%
2024-05-07,중경삼림,64,10.9%,0.0%
2024-05-07,극장판 스파이 패밀리 코드 : 화이트,380,4.2%,0.0%
2024-05-07,더 퍼스트 슬램덩크,1155,1.3%,0.0%
2024-05-07,가여운 것들,852,7.9%,0.0%
2024-05-07,오멘: 저주의 시작,753,8.8%,0.0%
2024-05-07,비거 스플래쉬,706,6.0%,0.0%
2024-05-07,기동전사 건담 시드 프리덤,545,5.3%,0.0%
2024-05-07,용감한 돌고래 벨루와 바닷속 친구들,59,16.9%,0.0%
2024-05-07,아서,266,28.1%,0.0%
2024-05-07,패스트 라이브즈,589,1.1%,0.0%
2024-05-07,게리 쿠퍼의 재회,780,8.5%,0.0%
2024-05-07,사냥꾼의 밤,510,10.5%,0.0%
2024-05-07,아이다호,58,12.0%,0.0%
2024-05-07,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,516,3.2%,0.0%
2024-05-07,녹차의 맛,400,4.0%,0.0%
2024-05-07,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,568,1.0%,0.0%
2024-05-07,추락의 해부,282,10.9%,0.0%
2024-05-07,괴물,42,9.5%,0.0%
2024-05-07,유코의 평형추,699,2.4%,0.0%
2024-05-07,노인과 바다,759,7.1%,0.0%
2024-05-07,패왕별희 디 오리지널,156,2.5%,0.0%
2024-05-07,올 더 네임즈 오브 갓,251,17.5%,0.0%
2024-05-07,더 콕핏,230,3.9%,0.0%
2024-05-07,펭귄 하이웨이,369,1.3%,0.0%
2024-05-07,갓랜드,212,3.3%,0.0%
2024-05-07,와일드 투어,251,1.1%,0.0%
2024-05-07,다운폴,94,20.2%,0.0%
2024-05-07,애정의 쌀,597,3.1%,0.0%
2024-05-07,거룩한 분노,150,2.0%,0.0%
2024-05-07,골드핑거,72,8.3%,0.0%
2024-05-07,키리에의 노래: 디렉터스 컷,172,1.1%,0.0%
2024-05-07,유메지,212,2.8%,0.0%
2024-05-07,데드 맨,138,3.6%,0.0%
2024-05-07,오키쿠와 세계,212,0.9%,0.0%
2024-05-07,기생수 파트1,98,0.0%,0.0%
2024-05-07,기생수 파트2,98,0.0%,0.0%
2024-05-07,블루 자이언트,123,0.8%,0.0%
2024-05-08,쿵푸팬더4,36092,5.5%,1.5%
2024-05-08,스턴트맨,78854,3.7%,3.3%
2024-05-08,남은 인생 10년,33241,7.6%,1.4%
2024-05-08,"포켓몬스터: 성도지방 이야기, 최종장",31732,4.3%,1.3%
2024-05-08,악마와의 토크쇼,81684,8.9%,3.4%
2024-05-08,쇼생크 탈출,36526,16.3%,1.5%
2024-05-08,챌린저스,19500,5.9%,0.8%
2024-05-08,꼬마참새 리차드: 신비한 보석 탐험대,7860,4.9%,0.3%
2024-05-08,극장판 실바니안 패밀리: 프레야의 선물,3736,2.7%,0.1%
2024-05-08,차이콥스키의 아내,2832,7.4%,0.1%
2024-05-08,듄: 파트2,1393,8.4%,0.0%
2024-05-08,힙노시스: LP 커버의 전설,3349,5.1%,0.1%
2024-05-08,악은 존재하지 않는다,2014,5.9%,0.0%
2024-05-08,고스트버스터즈: 오싹한 뉴욕,74,6.7%,0.0%
2024-05-08,로봇 드림,1423,3.9%,0.0%
2024-05-08,콜 미 바이 유어 네임,1217,11.2%,0.0%
2024-05-08,레옹,1505,3.9%,0.0%
2024-05-08,날씨의 아이,942,1.9%,0.0%
2024-05-08,보티첼리. 피렌체와 메디치,911,10.7%,0.0%
2024-05-08,극장판 울려라! 유포니엄: 앙상블 콘테스트,715,1.2%,0.0%
2024-05-08,키메라,292,10.2%,0.0%
2024-05-08,아이 엠 러브,901,4.8%,0.0%
2024-05-08,중경삼림,220,27.7%,0.0%
2024-05-08,극장판 스파이 패밀리 코드 : 화이트,427,3.0%,0.0%
2024-05-08,더 퍼스트 슬램덩크,258,0.7%,0.0%
2024-05-08,가여운 것들,70,11.4%,0.0%
2024-05-08,오멘: 저주의 시작,78,8.9%,0.0%
2024-05-08,비거 스플래쉬,290,3.7%,0.0%
2024-05-08,기동전사 건담 시드 프리덤,714,2.8%,0.0%
2024-05-08,아서,385,4.4%,0.0%
2024-05-08,패스트 라이브즈,451,4.4%,0.0%
2024-05-08,게리 쿠퍼의 재회,520,7.8%,0.0%
2024-05-08,사냥꾼의 밤,510,10.0%,0.0%
2024-05-08,아이다호,58,6.8%,0.0%
2024-05-08,녹차의 맛,267,3.7%,0.0%
2024-05-08,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,258,4.2%,0.0%
2024-05-08,추락의 해부,150,2.0%,0.0%
2024-05-08,유코의 평형추,860,1.6%,0.0%
2024-05-08,패왕별희 디 오리지널,126,2.3%,0.0%
2024-05-08,크레센도,40,7.5%,0.0%
2024-05-08,펭귄 하이웨이,241,1.6%,0.0%
2024-05-08,메이 디셈버,262,1.5%,0.0%
2024-05-08,와일드 투어,196,2.5%,0.0%
2024-05-08,말없는 소녀,72,11.1%,0.0%
2024-05-08,코다,72,9.7%,0.0%
2024-05-08,이프 온리,126,3.9%,0.0%
2024-05-08,골드핑거,54,1.8%,0.0%
2024-05-09,쿵푸팬더4,38360,6.3%,1.6%
2024-05-09,스턴트맨,69476,4.2%,2.9%
2024-05-09,남은 인생 10년,32122,8.6%,1.3%
2024-05-09,"포켓몬스터: 성도지방 이야기, 최종장",21923,2.8%,0.9%
2024-05-09,악마와의 토크쇼,77219,6.7%,3.2%
2024-05-09,쇼생크 탈출,35929,6.8%,1.5%
2024-05-09,챌린저스,19222,6.1%,0.8%
2024-05-09,꼬마참새 리차드: 신비한 보석 탐험대,8677,5.9%,0.3%
2024-05-09,목소리의 형태,37801,7.4%,1.6%
2024-05-09,극장판 실바니안 패밀리: 프레야의 선물,3080,2.5%,0.1%
2024-05-09,극장판 하이큐!! 쓰레기장의 결전,1007,100.0%,0.0%
2024-05-09,차이콥스키의 아내,2680,7.9%,0.1%
2024-05-09,듄: 파트2,1497,8.4%,0.0%
2024-05-09,힙노시스: LP 커버의 전설,2492,4.6%,0.1%
2024-05-09,가필드 더 무비,285,100.0%,0.0%
2024-05-09,악은 존재하지 않는다,1306,10.1%,0.0%
2024-05-09,고스트버스터즈: 오싹한 뉴욕,74,4.0%,0.0%
2024-05-09,로봇 드림,1475,8.2%,0.0%
2024-05-09,콜 미 바이 유어 네임,1020,13.8%,0.0%
2024-05-09,레옹,1474,4.9%,0.0%
2024-05-09,날씨의 아이,627,2.5%,0.0%
2024-05-09,보티첼리. 피렌체와 메디치,652,15.4%,0.0%
2024-05-09,극장판 울려라! 유포니엄: 앙상블 콘테스트,550,2.3%,0.0%
2024-05-09,키메라,616,7.4%,0.0%
2024-05-09,몬스터 프렌즈,157,86.6%,0.0%
2024-05-09,아이 엠 러브,576,7.1%,0.0%
2024-05-09,즐거운 영혼,1430,8.0%,0.0%
2024-05-09,고질라 X 콩: 뉴 엠파이어,64,1.5%,0.0%
2024-05-09,청춘 18X2 너에게로 이어지는 길,411,98.0%,0.0%
2024-05-09,중경삼림,116,7.7%,0.0%
2024-05-09,아기상어 극장판: 사이렌 스톤의 비밀,582,62.3%,0.0%
2024-05-09,극장판 스파이 패밀리 코드 : 화이트,427,3.5%,0.0%
2024-05-09,더 퍼스트 슬램덩크,516,1.1%,0.0%
2024-05-09,비욘드 유토피아,270,74.0%,0.0%
2024-05-09,가여운 것들,70,25.7%,0.0%
2024-05-09,오멘: 저주의 시작,88,6.8%,0.0%
2024-05-09,비거 스플래쉬,522,3.4%,0.0%
2024-05-09,기동전사 건담 시드 프리덤,492,2.6%,0.0%
2024-05-09,아서,285,1.4%,0.0%
2024-05-09,창가의 토토,208,100.0%,0.0%
2024-05-09,"낸 골딘, 모든 아름다움과 유혈사태",134,64.9%,0.0%
2024-05-09,패스트 라이브즈,376,7.1%,0.0%
2024-05-09,아이다호,92,13.0%,0.0%
2024-05-09,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,258,0.3%,0.0%
2024-05-09,녹차의 맛,88,1.1%,0.0%
2024-05-09,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,258,7.3%,0.0%
2024-05-09,추락의 해부,316,1.8%,0.0%
2024-05-09,괴물,78,62.8%,0.0%
2024-05-09,유코의 평형추,622,1.1%,0.0%
2024-05-09,나의 올드 오크,135,74.0%,0.0%
2024-05-09,모감보,759,7.6%,0.0%
2024-05-09,꽃다발 같은 사랑을 했다,126,7.1%,0.0%
2024-05-09,도쿄전쟁전후비화,230,27.8%,0.0%
2024-05-09,패왕별희 디 오리지널,126,0.7%,0.0%
2024-05-09,데미트리아스,597,3.6%,0.0%
2024-05-09,태양 아래,41,100.0%,0.0%
2024-05-09,와일드 투어,150,0.0%,0.0%
2024-05-09,지상의 밤,138,15.9%,0.0%
2024-05-09,너의 이름은.,258,1.5%,0.0%
2024-05-09,항구의 니쿠코짱!,378,0.5%,0.0%
2024-05-09,거룩한 분노,150,0.6%,0.0%
2024-05-09,그랜드 뷔페,212,4.7%,0.0%
2024-05-09,프로메어,123,5.6%,0.0%
2024-05-09,"타르콥스키, 기도하는 영혼",52,1.9%,0.0%
2024-05-09,기생수 파트1,98,1.0%,0.0%
2024-05-09,기생수 파트2,98,1.0%,0.0%
2024-05-09,레이니 데이 인 뉴욕,262,0.7%,0.0%
2024-05-10,쿵푸팬더4,42414,8.8%,1.7%
2024-05-10,스턴트맨,72937,5.8%,2.9%
2024-05-10,남은 인생 10년,38132,11.4%,1.5%
2024-05-10,"포켓몬스터: 성도지방 이야기, 최종장",23644,3.7%,0.9%
2024-05-10,악마와의 토크쇼,77436,9.7%,3.1%
2024-05-10,쇼생크 탈출,36100,7.3%,1.4%
2024-05-10,챌린저스,20915,7.8%,0.8%
2024-05-10,꼬마참새 리차드: 신비한 보석 탐험대,8058,7.9%,0.3%
2024-05-10,극장판 실바니안 패밀리: 프레야의 선물,4643,2.2%,0.1%
2024-05-10,차이콥스키의 아내,2680,6.5%,0.1%
2024-05-10,듄: 파트2,2353,12.9%,0.0%
2024-05-10,힙노시스: LP 커버의 전설,3501,7.0%,0.1%
2024-05-10,악은 존재하지 않는다,1304,13.2%,0.0%
2024-05-10,고스트버스터즈: 오싹한 뉴욕,74,5.4%,0.0%
2024-05-10,로봇 드림,1122,9.1%,0.0%
2024-05-10,콜 미 바이 유어 네임,1048,12.5%,0.0%
2024-05-10,레옹,1067,6.7%,0.0%
2024-05-10,날씨의 아이,885,3.6%,0.0%
2024-05-10,보티첼리. 피렌체와 메디치,684,14.9%,0.0%
2024-05-10,극장판 울려라! 유포니엄: 앙상블 콘테스트,851,1.4%,0.0%
2024-05-10,키메라,896,7.5%,0.0%
2024-05-10,몬스터 프렌즈,284,35.9%,0.0%
2024-05-10,아이 엠 러브,365,9.5%,0.0%
2024-05-10,고질라 X 콩: 뉴 엠파이어,64,9.3%,0.0%
2024-05-10,중경삼림,178,27.5%,0.0%
2024-05-10,극장판 스파이 패밀리 코드 : 화이트,427,5.3%,0.0%
2024-05-10,더 퍼스트 슬램덩크,935,3.3%,0.0%
2024-05-10,가여운 것들,35,28.5%,0.0%
2024-05-10,오멘: 저주의 시작,78,6.4%,0.0%
2024-05-10,비거 스플래쉬,962,4.4%,0.0%
2024-05-10,기동전사 건담 시드 프리덤,837,4.1%,0.0%
2024-05-10,용감한 돌고래 벨루와 바닷속 친구들,346,60.6%,0.0%
2024-05-10,아서,443,2.4%,0.0%
2024-05-10,패스트 라이브즈,455,2.1%,0.0%
2024-05-10,아이다호,116,18.9%,0.0%
2024-05-10,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,258,3.4%,0.0%
2024-05-10,녹차의 맛,91,6.5%,0.0%
2024-05-10,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,258,13.1%,0.0%
2024-05-10,추락의 해부,242,7.4%,0.0%
2024-05-10,괴물,126,6.3%,0.0%
2024-05-10,유코의 평형추,991,1.5%,0.0%
