movie_id,title_ko,title_en,online_open,theater_open,lifetime_vod,first_year_vod,first_year_note,peak_share,n_years
FS20129089,한경직,Han Gyungjik,2012-09-13,,1812,608,,0.235,2
FS20134105,나이팅게일,The Nightingale,2014-09-25,,1812,1812,partial(<12mo data),0.933,1
FS20202812,마리오네트,Marionette,2021-02-24,2021-02-17,1812,1812,partial(<12mo data),0.472,1
FS20202406,원티드 킬러,The Kid,2021-11-30,,1811,1789,,0.406,2
FS20230583,수색자: 아이스 브레이크,Come Back Home,2023-08-11,,1811,1644,,0.349,2
FS20148050,고스트 패밀리: 구출 대작전,The Great Ghost Rescue,2014-03-27,,1810,1810,partial(<12mo data),0.293,1
FS20040777,베니티 페어,Vanity Fair,2017-10-17,2005-01-21,1809,654,partial(<12mo data),0.494,2
FS19880051,그대 원하면,If You Want,1988-09-09,,1809,0,,0.343,1
FS19910303,엑소시스트3,Exorcist Ⅲ,1991-10-26,,1809,0,,0.117,3
FS20243500,부하직원 아내 섹파 만들기,,,,1809,1809,,0.92,1
FS20090937,동쪽의 에덴 극장판 ① 더 킹오브 에덴,Eden Of The East The Movie I: The King Of Eden,2010-01-28,,1808,0,,0.107,2
FS20195905,사무라이-검신 주베에,Jubei,2019-01-10,,1808,1808,,0.368,1
FS20216988,대리섹스: 형수를 부탁해,,2021-04-09,,1808,824,,0.456,2
FS20226199,게이샤의 기억,,2022-07-20,,1808,873,,0.119,5
FS20225716,내 몸속 깊숙이 닿아서-새엄마,,,,1808,1808,,0.744,1
FS2024A424,척살대2,Strange Door and Dark Blade,,,1808,1808,,0.424,1
FS20112049,퍼블릭 에너미 넘버원,"Mesrine: Part 1 - Killer Instinct, Public Enemy No.1",2011-08-25,,1807,1186,,0.38,2
FS19730066,007 제8편 : 죽느냐 사느냐,Live and Let Die,1974-01-01,,1807,0,,0.271,1
FS19930095,동성서취,The Eagle Shooting Heroes,1993-03-13,,1807,0,,0.432,1
FS20179569,바람의 색,Colors of Wind,2018-04-05,,1807,1807,partial(<12mo data),0.186,1
FS20219353,신용문 무림,The Last Wulin,2021-10-26,2021-10-28,1807,1382,,0.204,3
FS20210748,이틀동안 뺀적없는 처형,,,,1807,1807,,0.512,1
FS20139672,더 길트 트립,The Guilt Trip,,,1806,1358,,0.277,2
FS20184232,아내의 언니,,2018-11-30,,1806,1806,partial(<12mo data),0.976,1
FS20206568,위험한 과외,,2020-10-06,2020-09-11,1806,1690,,0.426,2
FS20081485,플라이 미 투 더 문,Fly Me To The Moon,2008-10-30,,1805,0,,0.205,2
FS20137416,윌,Will,,,1805,1805,,0.58,1
FS20184741,어린 누나-무삭제판,,2018-06-26,,1805,1805,partial(<12mo data),0.355,1
FS20200041,머시블랙: 저주 받은 아이,Mercy Black,2020-07-30,,1805,1805,partial(<12mo data),0.688,1
FS20198043,아픈 만큼 사랑한다,LOVE AS MUCH AS PAIN,2019-04-03,,1805,432,,0.113,2
FS20080973,옛날 옛적 서부에서,Once Upon a Time in the West,,,1804,1143,,0.258,3
FS20217121,낫아웃,NOT OUT,2021-06-28,2021-06-03,1804,1804,partial(<12mo data),0.661,1
FS20211923,아내의 예쁜동생,,2021-12-15,2021-12-10,1804,1471,,0.371,2
FS20147309,진구세주전설 북두의 권 - 유리아전,Fist Of The North Star: The Legend Of Yuria,,,1803,1720,,0.266,2
FS20204069,두아가씨 - 남편의 여동생과 마사지,,,,1803,1401,,0.229,2
FS20239887,숙모에게 들킨 팬티섹스,,,,1803,339,,0.508,2
FS20161263,헌팅 더 팬텀,Hunting The Phantom,2016-02-04,,1802,1802,partial(<12mo data),0.706,1
FS20060247,해변의 여인,Woman On The Beach,2006-08-31,,1802,0,,0.142,2
FS20142690,학교 가는길,The Road To School,2014-11-27,,1801,1296,,0.344,3
FS20181792,극장판 마법소녀 마도카 마기카(신편): 반역의 이야기,PUELLA MAGI MADOKA MAGICA THE MOVIE -Rebellion-,2018-03-21,2018-03-15,1801,1098,,0.172,2
FS20219334,슈퍼딥,Superdeep,2021-07-29,2021-08-05,1801,1801,partial(<12mo data),0.595,1
FS20152227,칠드런 오브 좀비,DESCENDENTS,,,1800,1800,partial(<12mo data),0.436,1
FS20151004,겁쟁이 페달: 리라이드,Yowamushi Pedal: Re:RIDE,2016-01-14,,1800,1800,,0.246,1
FS20197691,잃어버린 세계를 찾아서,Missing Link,2019-10-09,,1800,1576,,0.163,1
FS2022A989,명탐정 코난 극장판: 시한장치의 마천루,Detective Conan: The Time-Bombed Skyscraper,,,1800,767,,0.071,3
FS20228394,거유로 홀린 유부녀,,2022-11-10,,1800,0,,0.634,1
FS20135653,비버리힐즈 치와와 3,Beverly Hills Chihuahua 3: Viva La Fiesta,,,1799,1790,,0.248,2
FS20179936,풍뎅이뎅이,The Beetles,2018-02-08,,1799,0,partial(<12mo data),0.397,1
FS20219829,완벽한 타인과의 섹스경험담,,2021-08-26,2021-09-10,1799,65,,0.336,2
FS2024A209,슈가 베이비,Sugar Baby,,,1799,1691,,0.242,2
FS2026A822,아나콘다: 노 서바이버,Snake Infestation,,,1799,1799,partial(<12mo data),0.607,1
FS19900309,첩혈가두,Bullet In The Head,1990-09-29,,1798,0,,0.102,3
FS19970249,안나까레리나,Anna Karenina,1997-10-03,,1798,0,,0.115,3
FS20205710,더 케이지,Suspicion,,,1798,1798,partial(<12mo data),0.347,1
FS19930173,캔디맨,Candy Man,1993-07-10,,1797,0,,0.287,4
FS20224269,미용실 유부녀들,,2022-04-22,2022-04-06,1797,1797,partial(<12mo data),0.346,1
FS20248666,짐승같은 시아버지의 섹스 교육,,,,1797,805,,0.217,3
FS20171476,욕정에 무너진 새엄마,Sex with my step mother Waka Komatsuzaki,2017-09-21,,1796,1284,,0.325,2
FS20177468,이수아,LEE Su-a,2017-11-29,,1796,1651,,0.4,2
FS20208311,아이스맨 레져렉션,Iceman: Resurrection,2022-04-22,,1796,1600,,0.33,2
FS2025A744,신용문객잔,,,,1796,1796,partial(<12mo data),0.432,1
FS19988440,불타는 해석 남녀,Men & Women On Fire,,,1795,1374,,0.14,2
FS20148707,미나의 비밀 섹스,Deco Truck Gal Mina,2014-04-23,,1795,1795,partial(<12mo data),0.37,1
FS20148147,특명:돈가방을 찾아라,BAD GIRL,2014-03-20,,1795,1357,,0.163,2
FS20145385,제거자,Removal,2015-01-08,,1795,1795,,0.606,1
FS20162026,어느 여름날 밤에,One Summer Night,2017-04-06,,1795,1795,partial(<12mo data),0.217,1
FS20178346,전성수배,The Boundary,2017-10-19,,1795,874,,0.265,2
FS20038039,강아지 똥,Doggy Poo,2019-06-21,,1795,0,,0.115,3
FS20240104,이매지너리,IMAGINARY,2024-08-28,,1795,1733,,0.517,2
FS2009A966,나이트리듬,Night Rhythms,,,1794,1406,,0.299,2
FS20217258,기운센 시아버지 무삭제판,Name okashi gifu no yokubo 3,,,1794,1794,partial(<12mo data),0.247,1
FS2023C169,온 더 라인,,2023-07-26,,1794,1794,partial(<12mo data),0.796,1
FS20157783,창녀 고문 지옥,prostitute torture hell,2015-10-29,,1793,575,,0.174,2
FS20217928,특수팀,The Void Evidence,2021-05-24,,1793,1603,,0.28,2
FS20206093,자세가 좋은 제수씨,Husband's brother,2020-09-15,,1793,493,,0.612,2
FS19980040,강원도의 힘,The Power of Kangwon Province,1998-04-04,,1792,0,,0.097,3
FS20185575,디 엔드?,The End?,,,1792,1792,,0.315,1
FS20232555,며느리와 시아버지 그리고 사위와 장모,,2023-07-07,2023-07-13,1792,1253,,0.15,3
FS20138692,껌,Gum,,,1790,1292,,0.129,2
FS20136909,더 이스트,The East,,,1790,883,,0.356,2
FS20158466,러브앤서울 복숭아마을 도색소동기 무삭제판,AV Idol 2,2015-11-19,,1790,705,,0.068,2
FS20196938,트랜짓,Transit,2020-07-02,,1790,1790,partial(<12mo data),0.218,1
FS20242421,프로이트의 라스트 세션,FREUD’S LAST SESSION,2024-08-21,,1790,1750,,0.516,2
FS20191145,티켓다방 2,,2019-12-26,,1789,1774,,0.44,1
FS20210489,경고,Caveat,2021-10-20,,1789,1705,,0.315,2
FS20247866,최면 섹스에 빠진 옆집 새댁,,,,1788,1788,,0.987,1
FS20196370,로드킬,ROAD KILL,2019-02-20,2019-02-21,1787,0,,0.083,3
FS20231864,자지러지는 장모님,,2023-06-01,,1787,412,,0.271,4
FS20008585,코드,Cord,2019-12-02,,1786,0,partial(<12mo data),0.721,2
FS20192026,대리 남편,Part-Time Husband,2019-12-24,2020-01-03,1786,1777,,0.462,1
FS20215663,젖은 처제,Bofu tsuma no imoto to futaridake no yoru hachi,2021-02-03,,1786,1786,partial(<12mo data),0.286,1
FS20143283,야쿠자-악의극치,KYOTOIUNA-NO-GOKUDO,,,1785,1703,,0.351,2
FS20180824,젊은 장모,,2018-02-01,2018-02-02,1785,1785,partial(<12mo data),0.369,1
FS20050142,여고괴담 4 : 목소리,The Voice,2005-07-15,,1784,0,,0.146,3
FS20150242,드래곤 킹 레전드,Lord Of The Elves,2015-05-21,,1784,1784,partial(<12mo data),0.364,1
FS20184142,신들의 제국,Katherine of Alexandria,2018-07-22,,1784,1784,partial(<12mo data),0.584,1
FS20050094,소녀검객 아즈미 대혈전 2,Azumi 2: Death Or Love,2005-04-29,,1784,0,,0.406,1
FS20127029,디디 할리우드,Di Di Hollywood,2012-06-21,,1783,1592,,0.469,2
FS20190269,"더 다크 : 그날 이후, 난 사람을 먹는다",,,,1783,1783,partial(<12mo data),0.45,1
FS20193214,어린 누나 4,,2020-01-23,,1783,1783,,0.458,1
FS20137864,어펜더: 범죄와의 전쟁,Offender,2013-04-26,,1782,1638,,0.508,2
FS20186181,밝히는 여주인,oonnnasyougun,2018-06-07,,1782,1782,partial(<12mo data),0.81,1
FS2025A143,기문둔갑: 진격의 수호자,The Thousand Faces of Dunuia 2,,,1782,1782,partial(<12mo data),0.339,1
FS20100728,테이킹 우드스탁,Taking Woodstock,2010-07-29,,1781,0,,0.146,2
FS20148727,바라: 축복,Vara: A Blessing,2014-06-05,,1781,1781,partial(<12mo data),0.467,1
FS20150421,동경 표류일기,Tatsumi,2015-07-02,,1781,1566,,0.29,2
FS20154691,여친과 여친동생 - 돌려막기,Her sister Nasty booth babies,2015-09-16,,1780,1592,,0.223,2
FS20173806,노 게임 노 라이프 -제로-,No Game No Life Zero,2017-10-19,,1780,1097,,0.309,1
FS20236477,거절할 수 없는 며느리,,2024-03-08,,1780,5,,0.684,1
FS20133149,키스 미 어게인,Kiss Me Again,,,1779,1635,,0.268,2
FS20201187,불륜의 끝: 초미녀 광란 섹스,,,,1779,1149,,0.384,2
FS20098183,아버지를 위한 노래,This Must Be the Place,2012-05-03,,1777,1329,,0.29,2
FS20060116,아쿠아 마린,Aquamarine,2016-02-26,2006-06-30,1777,1757,partial(<12mo data),0.548,1
FS20204438,아문센,Amundsen,,,1777,1777,,0.332,1
FS20210374,미켈란젤로,Michelangelo - Infinito,2021-09-28,2021-09-29,1777,1351,,0.232,2
FS20224414,젖 큰 가정교사와 이대일,,2022-04-05,2022-04-07,1777,1317,,0.25,2
FS20246945,벗겨진 친구 아내,,2025-11-24,,1777,1032,,0.34,2
FS20252197,"한남자 세여자 : 아내, 장모, 형수",,2025-02-14,,1776,1640,,0.297,2
FS20124203,귀신전,Legend of the Millennium Dragon,,,1775,1775,,0.324,1
FS20149767,파이어 : 테러와의 전쟁,FIRE!,2014-07-10,,1775,1775,partial(<12mo data),0.703,1
FS20153103,절정쾌속열차 - 손놀림,Top high speed of the woman that the pervert last train does not get married,2015-08-19,,1775,1367,,0.18,2
FS20184921,신입사원(무삭제판),,2018-05-15,,1775,1775,partial(<12mo data),0.246,1
FS20185416,우리가족: 라멘샵,RAMEN SHOP,2019-01-31,,1774,1774,,0.451,1
FS20140617,북 오브 더 데드 : 사자의 서,The Eschatrilogy: Book of the Dead,,,1773,1539,,0.347,2
FS20121101,네 얼간이,Four Lions,,,1772,1733,,0.369,2
FS19950351,산타클로스,The Santa Claus,2014-04-17,1995-12-09,1772,31,,0.494,2
FS20230790,매일 밤 형수 방에 들어가는 도련님,,,,1772,442,,0.203,4
FS19960067,필로우 북,The Pillow Book,2000-12-02,,1771,0,,0.446,2
FS19950012,죽어도 좋은 경험: 천사여 악녀가 되라,An Experience to Die For,2021-07-30,2021-07-15,1771,1771,partial(<12mo data),0.791,1
FS20166860,유부녀의 위험한 알바-위층 남자와,Dangerous albite of the beautiful wife,2016-12-07,,1770,1572,,0.169,1
FS20191597,형수님 내가 더 잘해요,Love each other,2019-05-28,,1770,1770,partial(<12mo data),0.384,1
FS20212983,콜로니: 지구 귀환 프로젝트,Haven - Above Sky,,,1770,1770,,0.488,1
FS20253102,데드 어게인,Dead again,2025-05-08,,1770,1624,,0.244,2
FS20204766,아주버님의 거친 매력,YOXTUKYUHUMANNO,2020-01-31,,1769,1769,,0.255,1
FS20218789,피어썸,Fearsome,2021-09-17,2021-10-07,1768,1681,,0.451,2
FS20132623,행방불명,Yukue fumei,2013-10-17,,1767,1740,,0.37,2
FS20148227,카니발 - 피의 만찬,We Are What We Are,2014-03-27,,1767,1767,partial(<12mo data),0.3,1
FS20173611,착한 형수 : 뜨거운 유혹 무삭제,,2018-07-20,,1767,1767,partial(<12mo data),0.846,1
FS20196287,친구엄마들 2,,2020-02-04,,1767,1753,partial(<12mo data),0.306,1
FS20209295,송해 1927,Song Hae 1927,2021-12-07,2021-11-18,1767,1758,,0.514,1
FS20070012,나는 섹스중독자,I Am a Sex Addict,2007-01-18,,1766,0,,0.127,2
FS20148747,잡가소수,Knockabout,2014-05-01,,1766,1575,,0.307,2
FS20167302,아내의 애인2,Tonarinobijinzuma ~Naburaretaurei~,2016-12-16,,1766,1611,,0.249,1
FS20215022,IS 탈출,Thorn of War,2021-04-12,2021-04-15,1766,1766,partial(<12mo data),0.246,1
FS20235923,사랑은 낙엽을 타고,Fallen Leaves,2023-12-20,,1766,1304,,0.139,2
FS20139663,기동전사 건담 UC 에피소드2 : 붉은 혜성,Mobile Suit Gundam UC2,,,1765,857,,0.11,3
FS20235559,참을 수 없는,A higher law,,,1765,1172,,0.139,4
FS20230110,땀샘터진 아내의 엄마,,2023-03-03,,1765,27,,0.466,3
FS20256281,첫사랑 엔딩,Just For Meeting You,2025-08-27,,1765,1765,,0.262,2
FS20223601,인어전설: 전사의 귀환,The Legend of Mermaid,2022-03-02,,1764,1764,partial(<12mo data),0.495,1
FS20135154,트래저 버디,Treasure Buddies,,,1763,1763,partial(<12mo data),0.184,1
FS20186981,더티웨딩,DIRTY WEDDING,2018-09-04,2018-08-16,1763,1418,partial(<12mo data),0.614,1
FS20205707,마운틴: 콘체르토,Mountain,,,1763,1763,partial(<12mo data),0.267,1
FS20224134,심해괴수,The Sousea Water Monster,2022-03-10,,1763,1763,partial(<12mo data),0.404,1
FS20225045,능숙한 새엄마:오늘 밤은 못 참아,,2022-05-21,,1763,806,,0.315,3
FS20197148,포 핸즈,Four Hands,,,1762,1762,partial(<12mo data),0.276,1
FS20119126,하이 눈,High Noon,,,1761,291,,0.141,3
FS20180125,악의 도시,Septembers of Shiraz,2018-03-15,,1761,1761,partial(<12mo data),0.306,1
FS20210376,형수 잔뜩 흥분한 날,,2021-09-14,,1761,0,,0.83,1
FS2026A122,1967 그리즐리 어택,Grizzly Night,2026-02-26,,1761,1761,partial(<12mo data),0.684,1
FS20177084,히트맨 2017,Antidote,2017-07-27,,1760,1760,partial(<12mo data),0.534,1
FS20192822,쉐도우 울브스,Shadow Wolves,,,1760,1760,partial(<12mo data),0.343,1
FS20193447,스피시즈2060,Crossbreed,,,1760,1760,partial(<12mo data),0.474,1
FS20210235,스와핑 : 여자 헬스 트레이너,,2021-09-30,2021-10-04,1760,1668,,0.458,2
FS20249955,유부녀 동창회,,,,1760,302,,0.339,3
FS20128997,레이코의 위험한 정사,Dangerous Reiko,,,1759,1123,,0.143,2
FS20137380,007 두번 산다,You Only Live Twice,,,1759,1759,partial(<12mo data),0.27,1
FS19848044,사구,Dune,,,1759,1081,,0.182,3
FS20164606,신밧드: 제5의 항해,Sinbad: The Fifth Voyage,2016-11-25,,1759,1627,,0.375,2
FS20181363,불륜 정사의 맛-감독판,,2018-02-24,2018-02-14,1759,1759,partial(<12mo data),0.375,1
FS20205146,아메리칸 잡,Finding Steve McQueen,2020-09-04,2020-09-03,1759,1759,partial(<12mo data),0.645,1
FS20234520,킹 오브 킬러스,KING OF KILLERS,2023-10-04,2023-10-12,1759,1746,,0.333,2
FS20060095,콘스탄트 가드너,The Constant Gardener,2006-05-04,,1758,0,,0.908,1
