검수(포함Y/제외N),유형수동태그,movieCd,제목,영문명,제작연도,개봉일,재개봉일,국적,유형,장르,등급,러닝타임,감독,미개봉여부,편입사유,요약정보
,,20265142,여기도 저기도 가슴만 보이는 가슴 천국,,2025,,,일본,장편,성인물(에로),청소년관람불가,64분 13초,,Y,키워드:기도; 키워드:천국,장편 | 일반영화 | 성인물(에로) | 64분 13초 | 청소년관람불가 | 일본
,,20236742,여러 번 젖은 사회복지사,,2023,,,일본,장편,성인물(에로),청소년관람불가,64분 50초,,Y,필수:회복,장편 | 일반영화 | 성인물(에로) | 64분 50초 | 청소년관람불가 | 일본
,,20234102,여의사를 마사지 천국으로 보내다,,,,,일본,장편,성인물(에로),청소년관람불가,61분 29초,,Y,키워드:천국,장편 | 일반영화 | 성인물(에로) | 61분 29초 | 청소년관람불가 | 일본
,,20253904,영화감독 신나리 추모의 밤,,2025,,,한국,옴니버스,다큐멘터리,,,신나리,Y,키워드:천국,옴니버스 | 일반영화 | 다큐멘터리 | 한국
,,20244576,예수 lived in a motel room,Jesus lived in a motel room,2023,,,한국,단편,드라마,,26분 0초,,Y,키워드:예수,단편 | 일반영화 | 드라마 | 26분 0초 | 한국
,,20031221,"예수님, 당신은 아십니다","Jesus, You Know",2003,,,오스트리아,장편,다큐멘터리,,87분 0초,울리히 세이들,Y,키워드:예수,장편 | 일반영화 | 다큐멘터리 | 87분 0초 | 오스트리아
,,20240484,예수의 삶,The Life of Jesus,1997,,,프랑스,장편,드라마,,96분 0초,브루노 뒤몽,Y,키워드:예수,장편 | 일반영화 | 드라마 | 96분 0초 | 프랑스
,,19991170,예수의 아들,Jesus' Son,1999,,,미국(1),장편,드라마,,107분 0초,앨리슨 맥클린,Y,키워드:예수,"장편 | 일반영화 | 드라마 | 107분 0초 | 미국, 캐나다"
,,20210896,예수의 이름으로,In the Name of Christ,1993,,,기타,장편,코미디,,80분 0초,로저 그노안 엠발라,Y,키워드:예수,장편 | 일반영화 | 코미디 | 80분 0초 | 기타
,,20133393,예수의 주먹,FIST OF JESUS,2012,,,스페인,단편,,,15분 0초,,Y,키워드:예수,단편 | 일반영화 | 15분 0초 | 스페인
,,20021184,예수의 팔,The Arm Of Jesus,2002,,,네덜란드,장편,드라마,,72분 0초,안드레 반 데르 후트,Y,키워드:예수,장편 | 일반영화 | 드라마 | 72분 0초 | 네덜란드
,,20233196,예수의 피,La vie du Christ,1906,,,프랑스,단편,드라마,,33분 0초,,Y,키워드:예수,단편 | 일반영화 | 드라마 | 33분 0초 | 프랑스
,,20265222,오늘 천국 갈 수 있나요?,Can I Go to Heaven Today?,2025,,,한국,단편,드라마,,12분 8초,정진희,Y,키워드:천국,단편 | 일반영화 | 드라마 | 12분 8초 | 한국
,,20246016,오다 카오리 단편 모음,,2024,,,일본,옴니버스,다큐멘터리,,,오다 카오리,Y,키워드:교회,옴니버스 | 일반영화 | 다큐멘터리 | 일본
,,20241582,오만 단편선,,2024,,,기타,옴니버스,드라마,,,,Y,키워드:천국,옴니버스 | 일반영화 | 드라마 | 기타
,,20204941,오오극장 개관5주년 특별전 - 대구독립단편 신작,,2020,,,한국,옴니버스,드라마,,123분 0초,,Y,키워드:천국,옴니버스 | 일반영화 | 드라마 | 123분 0초 | 한국
,,19898254,"요리사, 도둑, 그의 아내 그리고 그녀의 정부","The Cook, the Thief, His Wife and Her Lover",1989,,,영국(2),장편,"범죄, 드라마",,124분 0초,피터 그리너웨이,Y,키워드:사도,"장편 | 일반영화 | 범죄, 드라마 | 124분 0초 | 영국, 프랑스, 네덜란드"
,,20114931,요제 육판성경,,1998,,,,일반영화,,,,,Y,키워드:성경,일반영화 |
,,20184282,위 러브 모세스,We Love Moses,2016,,,영국,단편,기타,,11분 0초,,Y,키워드:모세,단편 | 일반영화 | 기타 | 11분 0초 | 영국
,,20134429,육체남녀,"Here, There and Everywhere",2013,,,일본,단편,애니메이션,,2분 0초,가부키 사와코,Y,키워드:천국,단편 | 일반영화 | 애니메이션 | 2분 0초 | 일본
,,20194343,이사도라의 아이들,Diary of a Dancer,2019,,,프랑스,장편,드라마,12세이상관람가,84분 12초,다미앙 마니벨,Y,키워드:사도,장편 | 예술영화 | 드라마 | 84분 12초 | 12세이상관람가 | 프랑스
,,20008034,이집트 왕자 2: 요셉이야기,,2000,,,미국,장편,"애니메이션, 어드벤처",전체관람가,75분 0초,,Y,필수(보정):관련작,"장편 | 일반영화 | 애니메이션, 어드벤처 | 75분 0초 | 전체관람가 | 미국"
,,20236176,인디애니씨어터 with 애니메이션 어워즈 새로운 발견,,2023,,,한국,옴니버스,애니메이션,,,,Y,필수:회복,옴니버스 | 일반영화 | 애니메이션 | 한국
,,20236177,인디애니씨어터 with 애니메이션 어워즈 스튜디오 특별전,,2023,,,한국,옴니버스,애니메이션,,,,Y,키워드:기도,옴니버스 | 일반영화 | 애니메이션 | 한국
,,20166145,인민정무문,Fist of People,2015,,,한국,단편,"드라마, 액션",,19분 22초,안동기,Y,키워드:천국,"단편 | 일반영화 | 드라마, 액션 | 19분 22초 | 한국"
,,19458002,인생유전,Les Enfants Du Paradis,1945,,,프랑스,장편,"드라마, 멜로/로맨스",,190분 0초,마르셀 카르네,Y,키워드:천국,"장편 | 일반영화 | 드라마, 멜로/로맨스 | 190분 0초 | 프랑스"
,,20149525,인형,Human Form,2014,,,한국,단편,기타,12세이상관람가,11분 33초,노도연,Y,키워드:천국,단편 | 일반영화 | 기타 | 11분 33초 | 12세이상관람가 | 한국
,,20112817,잃어버린 천국,Paradis perdu / Four Flights to Love,1940,,,프랑스,장편,,,100분 0초,아벨 갠스,Y,키워드:천국,장편 | 일반영화 | 100분 0초 | 프랑스
,,20159057,자전거 vs 자동차,Bikes vs Cars,2015,,,스웨덴,장편,다큐멘터리,,90분 0초,프레드릭 게르튼,Y,필수:회복,장편 | 일반영화 | 다큐멘터리 | 90분 0초 | 스웨덴
,,20250684,작은 강과 교회에서,,,,,한국,기타,,,,,Y,키워드:교회,기타 | 독립영화 | 한국
,,20149545,점핑,Jumping,2005,,,한국(1),단편,기타,,20분 0초,구혁탄,Y,키워드:천국,"단편 | 일반영화 | 기타 | 20분 0초 | 한국, 중국"
,,20265693,제10회 부산인터시티영화제 인터시티 05,Inter-City 05,2026,,,기타,옴니버스,"드라마, 다큐멘터리",,,,Y,키워드:사도,"옴니버스 | 일반영화 | 드라마, 다큐멘터리 | 기타"
,,20233990,제15회 서울영등포국제초단편영화제 뉴 제너레이션 경쟁 1,New Generation Competition 1,2023,,,한국,옴니버스,"드라마, 애니메이션",,,,Y,키워드:기도,"옴니버스 | 일반영화 | 드라마, 애니메이션 | 한국"
,,20233972,제15회 서울영등포국제초단편영화제 초·단편 경쟁 6,Extreme Shorts/Shorts Competition 6,2023,,,기타,옴니버스,기타,,,,Y,키워드:복음,옴니버스 | 일반영화 | 기타 | 기타
,,20233815,제19회 서울인디애니페스트2023 새벽비행1,First Flight1,2023,,,한국(1),옴니버스,애니메이션,,,,Y,필수:회복,"옴니버스 | 일반영화 | 애니메이션 | 한국, 미국"
,,20259370,제21회 프라이드스크린 섹션6. 맞바람,,2025,,,한국,옴니버스,"드라마, 다큐멘터리",,,,Y,키워드:기도,"옴니버스 | 일반영화 | 드라마, 다큐멘터리 | 한국"
,,20254964,제22회 서울국제환경영화제 에코단편선1 자연과 함께하는 삶,Eco Shorts1,2025,,,기타,옴니버스,기타,,81분 0초,,Y,키워드:기도,옴니버스 | 일반영화 | 기타 | 81분 0초 | 기타
,,20228545,제24회 부산독립영화제 로컬투로컬 6,,2022,,,한국,옴니버스,기타,,,,Y,키워드:기도,옴니버스 | 일반영화 | 기타 | 한국
,,20232941,제71회 작은영화영화제 – 전국~영화자랑! -호남편,,2023,,,한국,옴니버스,드라마,,,,Y,키워드:기도,옴니버스 | 일반영화 | 드라마 | 한국
,,20183249,제9회 대구사회복지영화제 – #봉기하라+체르노빌의 할머니들,,2018,,,기타,옴니버스,다큐멘터리,,86분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 다큐멘터리 | 86분 0초 | 기타
,,20183244,제9회 대구사회복지영화제 – 그러나...복지를 버리는 시대로+또 하나의 교육,,2018,,,일본,옴니버스,다큐멘터리,,94분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 다큐멘터리 | 94분 0초 | 일본
,,20183241,제9회 대구사회복지영화제 – 독립단편다큐 1,,2018,,,한국,옴니버스,다큐멘터리,,92분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 다큐멘터리 | 92분 0초 | 한국
,,20183197,제9회 대구사회복지영화제 – 독립단편다큐 2,,2018,,,한국,옴니버스,다큐멘터리,,90분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 다큐멘터리 | 90분 0초 | 한국
,,20183246,제9회 대구사회복지영화제 – 독립단편애니,,2018,,,한국,옴니버스,애니메이션,,61분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 애니메이션 | 61분 0초 | 한국
,,20183261,제9회 대구사회복지영화제 – 버차이나 모놀로그+우리가 여기에 있다,,2018,,,중국,옴니버스,다큐멘터리,,88분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 다큐멘터리 | 88분 0초 | 중국
,,20183262,제9회 대구사회복지영화제 – 복지와 정치 : 소수자들의 정치학 단편모음,,2018,,,기타,옴니버스,다큐멘터리,,73분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 다큐멘터리 | 73분 0초 | 기타
,,20183242,제9회 대구사회복지영화제 – 소나기+볼링블링,,2018,,,한국,옴니버스,다큐멘터리,,58분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 다큐멘터리 | 58분 0초 | 한국
,,20183263,제9회 대구사회복지영화제 – 투 러시아 위드 러브+급진예술과 행동강령,,2018,,,기타,옴니버스,다큐멘터리,,96분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 다큐멘터리 | 96분 0초 | 기타
,,20183248,제9회 대구사회복지영화제 – 환경과 복지: 충돌하는 세계 단편모음,,2018,,,기타,옴니버스,다큐멘터리,,83분 0초,,Y,필수:회복,옴니버스 | 일반영화 | 다큐멘터리 | 83분 0초 | 기타
,,20248487,제자 아버님의 딱딱해진 필기도구,,2023,,,일본,장편,성인물(에로),청소년관람불가,63분 54초,,Y,키워드:기도,장편 | 일반영화 | 성인물(에로) | 63분 54초 | 청소년관람불가 | 일본
,,20242312,제자 아버님의 딱딱해진 필기도구 무삭제판,,,,,일본,장편,성인물(에로),청소년관람불가,84분 52초,,Y,키워드:기도,장편 | 일반영화 | 성인물(에로) | 84분 52초 | 청소년관람불가 | 일본
,,20051079,지저스 크라이스트 슈퍼 펀치,Jesus Christ Super Punch,2005,,,한국,단편,드라마,,20분 0초,유광준,Y,키워드:크라이스트,단편 | 일반영화 | 드라마 | 20분 0초 | 한국
,,20164704,지저스 크라이스트 슈퍼스타,Jesus Christ Superstar,1973,,,미국,장편,"드라마, 뮤지컬",,108분 0초,노만 주이슨,Y,키워드:크라이스트,"장편 | 일반영화 | 드라마, 뮤지컬 | 108분 0초 | 미국"
,,19738143,지저스 크라이스트 슈퍼스타,Jesus Christ Superstar,1973,,,미국,장편,뮤지컬,,108분 0초,노만 주이슨,Y,키워드:크라이스트,장편 | 일반영화 | 뮤지컬 | 108분 0초 | 미국
,,20245074,천국,Heaven,2020,,,이란,단편,애니메이션,,7분 0초,,Y,키워드:천국,단편 | 일반영화 | 애니메이션 | 7분 0초 | 이란
,,20247134,천국,,2021,,,한국,단편,드라마,12세이상관람가,11분 20초,,Y,키워드:천국,단편 | 독립영화 | 드라마 | 11분 20초 | 12세이상관람가 | 한국
